node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
3,57.0,4.0,0.0,3.0
13,8.0,20.0,0.0,3.0
34,79.0,34.0,0.0,4.0
55,69.0,42.0,0.0,1.0
63,81.0,44.0,0.0,3.0
67,29.0,46.0,0.0,1.0
77,81.0,51.0,0.0,3.0
89,13.0,55.0,0.0,3.0
104,98.0,58.0,0.0,3.0
125,61.0,62.0,0.0,1.0
138,20.0,67.0,0.0,1.0
143,27.0,71.0,0.0,1.0
168,76.0,80.0,0.0,3.0
199,96.0,89.0,0.0,3.0
207,74.0,90.0,0.0,3.0
235,25.0,8.0,1.0,1.0
236,89.0,9.0,1.0,3.0
257,92.0,23.0,1.0,3.0
298,14.0,45.0,1.0,3.0
321,94.0,54.0,1.0,3.0
329,37.0,56.0,1.0,3.0
330,49.0,56.0,1.0,3.0
348,20.0,61.0,1.0,1.0
367,60.0,69.0,1.0,1.0
384,11.0,77.0,1.0,3.0
385,49.0,77.0,1.0,3.0
427,70.0,98.0,1.0,1.0
437,3.0,7.0,2.0,1.0
472,68.0,21.0,2.0,3.0
556,69.0,65.0,2.0,3.0
587,89.0,76.0,2.0,3.0
625,12.0,91.0,2.0,3.0
633,45.0,95.0,2.0,3.0
634,61.0,95.0,2.0,1.0
659,62.0,8.0,3.0,3.0
671,44.0,13.0,3.0,1.0
713,27.0,33.0,3.0,3.0
745,64.0,46.0,3.0,3.0
769,28.0,58.0,3.0,3.0
818,59.0,77.0,3.0,3.0
838,69.0,83.0,3.0,3.0
868,21.0,93.0,3.0,4.0
886,77.0,2.0,4.0,3.0
897,34.0,7.0,4.0,3.0
924,56.0,16.0,4.0,3.0
927,87.0,17.0,4.0,1.0
995,4.0,43.0,4.0,6.0
1094,38.0,72.0,4.0,3.0
1130,4.0,86.0,4.0,3.0
1134,21.0,87.0,4.0,1.0
1141,52.0,88.0,4.0,3.0
1171,5.0,95.0,4.0,3.0
1291,4.0,42.0,5.0,6.0
1292,3.0,43.0,5.0,7.0
1298,3.0,45.0,5.0,7.0
1427,21.0,81.0,5.0,1.0
1483,40.0,91.0,5.0,3.0
1628,6.0,43.0,6.0,6.0
1673,16.0,57.0,6.0,3.0
1732,76.0,70.0,6.0,4.0
1916,59.0,38.0,7.0,3.0
2038,32.0,73.0,7.0,3.0
2078,32.0,85.0,7.0,3.0
2147,49.0,6.0,8.0,3.0
2175,80.0,11.0,8.0,3.0
2395,8.0,2.0,9.0,1.0
2421,5.0,11.0,9.0,3.0
2516,46.0,54.0,9.0,1.0
2560,86.0,67.0,9.0,3.0
2729,80.0,34.0,10.0,3.0
3039,65.0,70.0,11.0,3.0
3184,26.0,35.0,12.0,3.0
3307,63.0,86.0,12.0,3.0
3324,1.0,94.0,12.0,3.0
3395,66.0,20.0,13.0,3.0
3399,40.0,21.0,13.0,3.0
3453,41.0,43.0,13.0,3.0
3485,3.0,59.0,13.0,3.0
3492,64.0,59.0,13.0,3.0
3673,13.0,11.0,14.0,3.0
3771,65.0,42.0,14.0,3.0
3814,38.0,55.0,14.0,3.0
3879,40.0,75.0,14.0,3.0
4159,18.0,56.0,15.0,3.0
4280,84.0,89.0,15.0,3.0
4394,17.0,30.0,16.0,3.0
4862,49.0,2.0,18.0,1.0
5020,70.0,66.0,18.0,3.0
5273,4.0,67.0,19.0,3.0
5491,47.0,55.0,20.0,3.0
5637,39.0,2.0,21.0,1.0
5923,59.0,95.0,21.0,3.0
6149,81.0,72.0,22.0,3.0
6344,80.0,36.0,23.0,4.0
6539,95.0,2.0,24.0,1.0
6555,82.0,8.0,24.0,4.0
6741,78.0,62.0,24.0,3.0
6870,90.0,95.0,24.0,3.0
7213,13.0,14.0,26.0,1.0
7487,33.0,35.0,27.0,1.0
7575,50.0,67.0,27.0,3.0
7673,15.0,9.0,28.0,3.0
7737,8.0,42.0,28.0,4.0
8087,10.0,69.0,29.0,3.0
8400,34.0,66.0,30.0,4.0
9097,83.0,13.0,33.0,1.0
9943,7.0,2.0,36.0,1.0
10403,49.0,59.0,37.0,1.0
10457,7.0,82.0,37.0,3.0
10779,59.0,22.0,39.0,3.0
10854,42.0,60.0,39.0,4.0
11180,61.0,67.0,40.0,3.0
11551,44.0,81.0,41.0,3.0
11562,74.0,84.0,41.0,3.0
11565,46.0,85.0,41.0,3.0
11622,60.0,96.0,41.0,3.0
11649,15.0,3.0,42.0,3.0
11932,12.0,15.0,43.0,3.0
12257,18.0,24.0,44.0,1.0
12564,91.0,43.0,45.0,3.0
13275,44.0,7.0,48.0,3.0
13979,48.0,56.0,50.0,1.0
14286,7.0,57.0,51.0,3.0
14538,7.0,35.0,52.0,3.0
14585,49.0,50.0,52.0,1.0
14805,88.0,15.0,53.0,3.0
15142,78.0,64.0,54.0,3.0
15273,81.0,17.0,55.0,3.0
15431,20.0,89.0,55.0,3.0
15481,71.0,5.0,56.0,3.0
16376,10.0,24.0,59.0,3.0
16488,30.0,63.0,59.0,3.0
16511,42.0,67.0,59.0,3.0
16567,42.0,80.0,59.0,3.0
16640,95.0,2.0,60.0,1.0
16958,33.0,89.0,60.0,3.0
16999,2.0,2.0,61.0,1.0
17086,15.0,42.0,61.0,3.0
17958,89.0,74.0,64.0,3.0
18100,71.0,27.0,65.0,8.0
18180,54.0,65.0,65.0,3.0
18269,84.0,89.0,65.0,3.0
18644,56.0,16.0,67.0,1.0
18669,54.0,25.0,67.0,3.0
19097,70.0,56.0,68.0,3.0
19266,50.0,6.0,69.0,3.0
19448,1.0,62.0,69.0,3.0
19557,15.0,91.0,69.0,3.0
19737,25.0,65.0,70.0,3.0
20125,62.0,64.0,72.0,3.0
20320,60.0,44.0,73.0,3.0
20616,82.0,72.0,74.0,3.0
20749,92.0,24.0,75.0,3.0
20827,93.0,47.0,75.0,3.0
20891,43.0,66.0,75.0,1.0
21003,66.0,2.0,76.0,1.0
21057,48.0,26.0,76.0,3.0
21225,44.0,71.0,76.0,3.0
21525,37.0,63.0,77.0,3.0
21673,13.0,10.0,78.0,3.0
22066,68.0,78.0,79.0,3.0
22365,83.0,20.0,81.0,3.0
22605,77.0,16.0,82.0,3.0
22739,89.0,72.0,82.0,3.0
23071,52.0,87.0,83.0,3.0
23409,42.0,13.0,85.0,3.0
23648,89.0,4.0,86.0,3.0
23723,89.0,35.0,86.0,3.0
23968,90.0,29.0,87.0,3.0
24343,37.0,82.0,88.0,3.0
24704,9.0,28.0,90.0,1.0
24794,98.0,73.0,90.0,3.0
24850,24.0,88.0,90.0,3.0
24868,44.0,93.0,90.0,3.0
25044,45.0,78.0,91.0,3.0
25452,41.0,35.0,93.0,4.0
25524,16.0,63.0,93.0,3.0
25628,54.0,3.0,94.0,1.0
25823,56.0,79.0,94.0,3.0
25950,51.0,26.0,95.0,3.0
26410,30.0,2.0,97.0,1.0
26412,89.0,2.0,97.0,1.0
435,63.0,4.0,2.0,3.0
656,55.0,7.0,3.0,3.0
1248,3.0,22.0,5.0,3.0
25,9.0,25.0,0.0,1.0
950,76.0,26.0,4.0,3.0
38,83.0,34.0,0.0,3.0
39,78.0,35.0,0.0,3.0
491,87.0,33.0,2.0,3.0
1603,76.0,34.0,6.0,3.0
296,69.0,43.0,1.0,3.0
294,78.0,41.0,1.0,3.0
498,86.0,39.0,2.0,3.0
720,28.0,36.0,3.0,3.0
85,84.0,53.0,0.0,3.0
513,79.0,49.0,2.0,3.0
108,86.0,59.0,0.0,3.0
778,5.0,62.0,3.0,3.0
552,98.0,64.0,2.0,3.0
131,82.0,63.0,0.0,3.0
1344,59.0,61.0,5.0,3.0
132,83.0,64.0,0.0,3.0
354,81.0,63.0,1.0,3.0
144,81.0,71.0,0.0,4.0
1093,27.0,72.0,4.0,3.0
145,80.0,72.0,0.0,3.0
157,80.0,77.0,0.0,3.0
1736,76.0,71.0,6.0,4.0
390,78.0,78.0,1.0,3.0
832,71.0,80.0,3.0,3.0
395,95.0,80.0,1.0,3.0
860,93.0,87.0,3.0,3.0
400,78.0,86.0,1.0,4.0
421,77.0,95.0,1.0,3.0
864,71.0,89.0,3.0,3.0
448,24.0,9.0,2.0,3.0
443,88.0,8.0,2.0,3.0
468,94.0,18.0,2.0,3.0
476,88.0,22.0,2.0,3.0
260,93.0,25.0,1.0,3.0
268,91.0,31.0,1.0,3.0
278,88.0,33.0,1.0,3.0
489,97.0,32.0,2.0,3.0
287,93.0,37.0,1.0,3.0
502,93.0,43.0,2.0,3.0
1619,75.0,39.0,6.0,3.0
998,67.0,43.0,4.0,4.0
1606,5.0,36.0,6.0,3.0
310,12.0,50.0,1.0,3.0
1290,16.0,40.0,5.0,3.0
339,94.0,57.0,1.0,3.0
1030,88.0,52.0,4.0,3.0
1004,38.0,46.0,4.0,3.0
1053,39.0,57.0,4.0,3.0
331,51.0,56.0,1.0,3.0
533,48.0,59.0,2.0,3.0
789,51.0,67.0,3.0,3.0
532,93.0,58.0,2.0,3.0
1699,21.0,63.0,6.0,3.0
531,79.0,58.0,2.0,3.0
1346,16.0,62.0,5.0,3.0
1751,7.0,77.0,6.0,3.0
1106,15.0,78.0,4.0,3.0
580,47.0,72.0,2.0,3.0
830,46.0,80.0,3.0,3.0
1755,78.0,79.0,6.0,3.0
843,86.0,84.0,3.0,3.0
1132,79.0,86.0,4.0,3.0
1184,72.0,97.0,4.0,4.0
1183,71.0,97.0,4.0,4.0
1846,95.0,5.0,7.0,3.0
1855,86.0,9.0,7.0,3.0
1545,17.0,15.0,6.0,3.0
913,30.0,13.0,4.0,3.0
933,96.0,19.0,4.0,3.0
475,67.0,22.0,2.0,3.0
1573,71.0,22.0,6.0,3.0
1562,86.0,19.0,6.0,3.0
951,97.0,26.0,4.0,3.0
980,98.0,35.0,4.0,3.0
1274,86.0,31.0,5.0,4.0
1923,87.0,39.0,7.0,3.0
1003,98.0,45.0,4.0,3.0
2249,88.0,47.0,8.0,3.0
1968,76.0,52.0,7.0,3.0
545,91.0,62.0,2.0,3.0
768,97.0,57.0,3.0,3.0
787,50.0,66.0,3.0,3.0
776,89.0,61.0,3.0,3.0
559,97.0,65.0,2.0,4.0
1071,98.0,63.0,4.0,3.0
1406,72.0,73.0,5.0,3.0
577,95.0,71.0,2.0,3.0
1091,93.0,71.0,4.0,3.0
594,93.0,77.0,2.0,3.0
1407,87.0,73.0,5.0,3.0
608,87.0,81.0,2.0,3.0
1121,87.0,83.0,4.0,4.0
865,7.0,90.0,3.0,3.0
1484,41.0,91.0,5.0,3.0
2379,44.0,97.0,8.0,3.0
1503,62.0,95.0,5.0,3.0
916,70.0,13.0,4.0,3.0
896,62.0,6.0,4.0,3.0
1201,60.0,8.0,5.0,3.0
2184,46.0,14.0,8.0,3.0
959,29.0,29.0,4.0,3.0
1593,18.0,33.0,6.0,3.0
718,29.0,35.0,3.0,3.0
1915,35.0,38.0,7.0,3.0
1033,23.0,53.0,4.0,3.0
1005,61.0,46.0,4.0,3.0
1027,66.0,52.0,4.0,3.0
997,66.0,43.0,4.0,3.0
1368,28.0,66.0,5.0,3.0
1060,27.0,59.0,4.0,3.0
2544,88.0,62.0,9.0,3.0
1717,7.0,67.0,6.0,3.0
791,47.0,68.0,3.0,3.0
1078,54.0,68.0,4.0,3.0
1131,60.0,86.0,4.0,4.0
826,52.0,79.0,3.0,4.0
1435,53.0,83.0,5.0,3.0
856,46.0,87.0,3.0,3.0
1098,71.0,74.0,4.0,3.0
1118,70.0,82.0,4.0,3.0
862,70.0,88.0,3.0,4.0
848,85.0,85.0,3.0,4.0
1487,87.0,91.0,5.0,3.0
1446,80.0,85.0,5.0,3.0
1475,42.0,90.0,5.0,3.0
2095,90.0,90.0,7.0,3.0
1788,66.0,90.0,6.0,3.0
1145,29.0,89.0,4.0,3.0
1162,20.0,93.0,4.0,3.0
890,77.0,3.0,4.0,4.0
907,75.0,8.0,4.0,3.0
2166,84.0,9.0,8.0,4.0
3128,61.0,3.0,12.0,3.0
2664,37.0,3.0,10.0,3.0
1215,30.0,12.0,5.0,3.0
1525,71.0,7.0,6.0,3.0
917,31.0,14.0,4.0,3.0
1224,35.0,14.0,5.0,3.0
934,57.0,20.0,4.0,3.0
1877,85.0,18.0,7.0,3.0
2177,94.0,11.0,8.0,3.0
1240,97.0,20.0,5.0,3.0
968,54.0,31.0,4.0,3.0
1225,77.0,14.0,5.0,3.0
1568,32.0,22.0,6.0,3.0
1893,32.0,30.0,7.0,3.0
1590,55.0,32.0,6.0,3.0
999,4.0,44.0,4.0,8.0
1001,4.0,45.0,4.0,7.0
1296,5.0,44.0,5.0,8.0
1324,97.0,53.0,5.0,3.0
1924,98.0,39.0,7.0,3.0
1318,43.0,52.0,5.0,3.0
1931,35.0,41.0,7.0,3.0
1660,59.0,53.0,6.0,3.0
1029,68.0,52.0,4.0,3.0
1045,67.0,55.0,4.0,3.0
2511,86.0,52.0,9.0,3.0
1037,27.0,53.0,4.0,3.0
1666,21.0,55.0,6.0,3.0
1070,67.0,63.0,4.0,3.0
1342,39.0,61.0,5.0,3.0
1686,22.0,60.0,6.0,3.0
2002,30.0,63.0,7.0,3.0
1380,55.0,69.0,5.0,3.0
1382,89.0,69.0,5.0,3.0
2307,94.0,73.0,8.0,3.0
2022,32.0,68.0,7.0,3.0
1438,39.0,84.0,5.0,3.0
1370,38.0,67.0,5.0,4.0
1411,44.0,74.0,5.0,3.0
2050,62.0,75.0,7.0,3.0
1413,19.0,75.0,5.0,3.0
2079,73.0,85.0,7.0,3.0
1437,93.0,83.0,5.0,4.0
2058,8.0,78.0,7.0,3.0
1144,6.0,89.0,4.0,3.0
2334,63.0,82.0,8.0,5.0
1492,80.0,92.0,5.0,3.0
1459,49.0,88.0,5.0,3.0
1147,53.0,89.0,4.0,3.0
1501,4.0,94.0,5.0,3.0
1458,29.0,88.0,5.0,3.0
1160,28.0,92.0,4.0,3.0
1156,52.0,91.0,4.0,3.0
1180,52.0,96.0,4.0,3.0
1498,28.0,93.0,5.0,3.0
1472,21.0,90.0,5.0,3.0
1792,15.0,92.0,6.0,3.0
1497,14.0,93.0,5.0,3.0
1181,50.0,97.0,4.0,3.0
2112,73.0,96.0,7.0,3.0
1530,60.0,10.0,6.0,3.0
2168,29.0,10.0,8.0,3.0
2919,38.0,11.0,11.0,3.0
2193,82.0,16.0,8.0,4.0
1262,97.0,25.0,5.0,3.0
1557,3.0,19.0,6.0,3.0
1585,5.0,30.0,6.0,3.0
3410,93.0,24.0,13.0,3.0
1588,86.0,31.0,6.0,3.0
1624,5.0,42.0,6.0,7.0
1632,3.0,44.0,6.0,8.0
1293,5.0,43.0,5.0,8.0
1303,5.0,46.0,5.0,8.0
1636,3.0,45.0,6.0,8.0
1302,4.0,46.0,5.0,9.0
1304,5.0,47.0,5.0,6.0
1309,5.0,50.0,5.0,4.0
1327,1.0,55.0,5.0,3.0
2514,8.0,54.0,9.0,4.0
1330,39.0,56.0,5.0,3.0
1649,44.0,49.0,6.0,3.0
1331,98.0,56.0,5.0,3.0
3002,0.0,53.0,11.0,3.0
1962,34.0,51.0,7.0,3.0
1996,98.0,59.0,7.0,3.0
2008,36.0,65.0,7.0,3.0
1999,44.0,62.0,7.0,3.0
1354,58.0,62.0,5.0,3.0
1702,56.0,63.0,6.0,3.0
1719,44.0,67.0,6.0,3.0
1714,37.0,66.0,6.0,3.0
1739,54.0,72.0,6.0,3.0
1396,60.0,72.0,5.0,4.0
2029,88.0,69.0,7.0,3.0
2019,63.0,67.0,7.0,4.0
