node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
37,34.0,15.0,0.0,3.0
57,23.0,20.0,0.0,3.0
94,97.0,26.0,0.0,3.0
108,47.0,29.0,0.0,3.0
115,3.0,36.0,0.0,3.0
120,56.0,38.0,0.0,3.0
156,11.0,68.0,0.0,3.0
184,5.0,77.0,0.0,3.0
209,28.0,85.0,0.0,1.0
228,47.0,88.0,0.0,3.0
231,8.0,89.0,0.0,3.0
254,61.0,93.0,0.0,3.0
274,43.0,7.0,1.0,3.0
280,75.0,8.0,1.0,3.0
282,29.0,9.0,1.0,3.0
289,12.0,12.0,1.0,3.0
292,6.0,13.0,1.0,1.0
301,21.0,15.0,1.0,5.0
312,47.0,20.0,1.0,3.0
314,63.0,20.0,1.0,3.0
319,6.0,22.0,1.0,3.0
332,70.0,25.0,1.0,3.0
389,89.0,52.0,1.0,3.0
392,27.0,57.0,1.0,4.0
404,27.0,65.0,1.0,4.0
409,55.0,66.0,1.0,3.0
436,61.0,75.0,1.0,3.0
465,84.0,84.0,1.0,3.0
488,77.0,90.0,1.0,1.0
493,96.0,91.0,1.0,3.0
508,68.0,94.0,1.0,3.0
534,93.0,6.0,2.0,3.0
541,9.0,10.0,2.0,3.0
551,19.0,12.0,2.0,7.0
599,84.0,22.0,2.0,3.0
647,80.0,37.0,2.0,3.0
665,17.0,46.0,2.0,3.0
692,58.0,58.0,2.0,3.0
696,90.0,60.0,2.0,1.0
697,3.0,61.0,2.0,3.0
731,89.0,70.0,2.0,3.0
737,28.0,72.0,2.0,3.0
761,46.0,77.0,2.0,3.0
774,96.0,80.0,2.0,3.0
791,77.0,85.0,2.0,3.0
811,20.0,92.0,2.0,3.0
815,36.0,93.0,2.0,3.0
830,91.0,95.0,2.0,3.0
831,80.0,96.0,2.0,3.0
843,87.0,3.0,3.0,3.0
879,22.0,13.0,3.0,9.0
983,60.0,47.0,3.0,3.0
1045,95.0,64.0,3.0,3.0
1111,35.0,80.0,3.0,3.0
1179,1.0,2.0,4.0,1.0
1205,58.0,8.0,4.0,3.0
1223,19.0,12.0,4.0,8.0
1247,43.0,16.0,4.0,3.0
1327,27.0,44.0,4.0,3.0
1562,20.0,13.0,5.0,8.0
1620,1.0,25.0,5.0,3.0
1636,86.0,27.0,5.0,3.0
1720,67.0,50.0,5.0,3.0
2259,69.0,4.0,7.0,4.0
2617,30.0,29.0,8.0,3.0
2702,2.0,52.0,8.0,4.0
2707,83.0,53.0,8.0,3.0
3030,84.0,64.0,9.0,3.0
3485,52.0,6.0,11.0,1.0
3493,10.0,8.0,11.0,3.0
3688,75.0,77.0,11.0,3.0
3858,24.0,25.0,12.0,3.0
4142,0.0,2.0,13.0,1.0
4274,34.0,49.0,13.0,3.0
4303,31.0,61.0,13.0,3.0
4398,70.0,89.0,13.0,4.0
4719,97.0,98.0,14.0,1.0
4819,3.0,34.0,15.0,3.0
4962,90.0,77.0,15.0,3.0
5054,73.0,3.0,16.0,1.0
5264,69.0,74.0,16.0,3.0
