node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
19,99.0,17.0,0.0,1.0
47,52.0,31.0,0.0,3.0
85,31.0,42.0,0.0,3.0
95,76.0,46.0,0.0,3.0
145,68.0,65.0,0.0,3.0
156,96.0,68.0,0.0,3.0
170,79.0,75.0,0.0,1.0
197,72.0,93.0,0.0,3.0
203,19.0,94.0,0.0,1.0
241,99.0,12.0,1.0,1.0
258,88.0,25.0,1.0,3.0
262,80.0,27.0,1.0,3.0
290,5.0,43.0,1.0,3.0
313,20.0,54.0,1.0,1.0
322,98.0,59.0,1.0,3.0
370,46.0,74.0,1.0,3.0
382,5.0,77.0,1.0,3.0
385,66.0,77.0,1.0,3.0
406,78.0,83.0,1.0,1.0
412,42.0,87.0,1.0,3.0
414,85.0,87.0,1.0,3.0
415,93.0,87.0,1.0,3.0
431,41.0,93.0,1.0,3.0
443,98.0,95.0,1.0,1.0
459,27.0,3.0,2.0,1.0
473,69.0,8.0,2.0,3.0
474,0.0,9.0,2.0,3.0
496,49.0,22.0,2.0,3.0
504,9.0,27.0,2.0,3.0
546,46.0,53.0,2.0,3.0
586,17.0,66.0,2.0,3.0
601,9.0,71.0,2.0,3.0
666,8.0,94.0,2.0,3.0
674,3.0,96.0,2.0,1.0
702,16.0,7.0,3.0,3.0
713,40.0,9.0,3.0,3.0
739,60.0,19.0,3.0,3.0
754,69.0,25.0,3.0,3.0
760,98.0,27.0,3.0,3.0
777,68.0,37.0,3.0,3.0
788,19.0,41.0,3.0,3.0
894,57.0,68.0,3.0,3.0
966,57.0,94.0,3.0,3.0
986,91.0,5.0,4.0,3.0
1032,38.0,18.0,4.0,3.0
1044,22.0,22.0,4.0,1.0
1142,89.0,53.0,4.0,3.0
1260,28.0,96.0,4.0,3.0
1355,27.0,24.0,5.0,3.0
1499,79.0,70.0,5.0,3.0
2207,4.0,79.0,7.0,3.0
2556,5.0,21.0,9.0,3.0
2677,6.0,72.0,9.0,3.0
2858,5.0,48.0,10.0,3.0
2905,49.0,66.0,10.0,3.0
3331,7.0,5.0,12.0,1.0
3409,33.0,31.0,12.0,1.0
3601,98.0,97.0,12.0,1.0
3914,19.0,26.0,14.0,1.0
3931,77.0,29.0,14.0,3.0
4384,36.0,94.0,15.0,3.0
4413,4.0,3.0,16.0,1.0
4575,38.0,67.0,16.0,3.0
4613,37.0,77.0,16.0,3.0
4882,54.0,62.0,17.0,1.0
4898,16.0,66.0,17.0,3.0
5057,13.0,21.0,18.0,3.0
5611,46.0,29.0,20.0,1.0
5746,27.0,4.0,21.0,1.0
5799,62.0,21.0,21.0,3.0
5903,61.0,67.0,21.0,3.0
6558,42.0,81.0,23.0,3.0
6918,39.0,13.0,25.0,3.0
7152,2.0,94.0,25.0,4.0
7729,19.0,91.0,27.0,4.0
7964,65.0,88.0,28.0,3.0
8007,77.0,5.0,29.0,3.0
8395,44.0,84.0,30.0,3.0
8920,18.0,62.0,32.0,3.0
8994,6.0,84.0,32.0,3.0
9533,2.0,63.0,34.0,3.0
9976,79.0,25.0,36.0,3.0
10028,87.0,45.0,36.0,3.0
10214,90.0,27.0,37.0,3.0
10716,65.0,25.0,39.0,1.0
10738,67.0,37.0,39.0,3.0
10874,52.0,78.0,39.0,4.0
11053,98.0,35.0,40.0,3.0
11412,52.0,56.0,41.0,3.0
11465,42.0,67.0,41.0,3.0
11495,32.0,74.0,41.0,3.0
11649,16.0,25.0,42.0,3.0
12479,34.0,29.0,45.0,3.0
12532,14.0,57.0,45.0,3.0
12568,75.0,68.0,45.0,1.0
12598,67.0,80.0,45.0,4.0
13206,88.0,8.0,48.0,3.0
13402,93.0,88.0,48.0,3.0
13509,6.0,25.0,49.0,1.0
13601,30.0,56.0,49.0,3.0
13865,47.0,32.0,50.0,3.0
13944,56.0,50.0,50.0,3.0
13973,69.0,55.0,50.0,3.0
14036,32.0,77.0,50.0,3.0
14056,5.0,83.0,50.0,3.0
14124,50.0,5.0,51.0,3.0
14326,15.0,64.0,51.0,3.0
14598,37.0,72.0,52.0,3.0
14652,8.0,88.0,52.0,3.0
14983,61.0,64.0,54.0,3.0
15336,81.0,30.0,56.0,3.0
15380,62.0,41.0,56.0,3.0
15468,78.0,80.0,56.0,3.0
15587,94.0,21.0,57.0,3.0
15616,2.0,34.0,57.0,1.0
15621,92.0,35.0,57.0,3.0
15657,5.0,45.0,57.0,3.0
15747,83.0,73.0,57.0,3.0
15832,53.0,3.0,58.0,1.0
16057,43.0,69.0,58.0,3.0
16099,12.0,80.0,58.0,3.0
17156,17.0,17.0,63.0,3.0
17317,88.0,90.0,63.0,3.0
17584,50.0,95.0,64.0,3.0
18206,39.0,30.0,67.0,3.0
18650,91.0,5.0,69.0,3.0
18864,62.0,3.0,70.0,1.0
19018,83.0,69.0,70.0,3.0
19043,35.0,80.0,70.0,3.0
19268,87.0,77.0,71.0,1.0
19331,56.0,2.0,72.0,1.0
19746,45.0,76.0,73.0,3.0
19952,97.0,44.0,74.0,3.0
19987,40.0,65.0,74.0,1.0
20012,66.0,72.0,74.0,1.0
20205,87.0,57.0,75.0,1.0
20222,13.0,64.0,75.0,3.0
20376,15.0,48.0,76.0,3.0
20733,30.0,9.0,78.0,8.0
20954,32.0,7.0,79.0,7.0
20965,33.0,9.0,79.0,7.0
20969,28.0,10.0,79.0,8.0
20970,33.0,10.0,79.0,8.0
20973,28.0,11.0,79.0,8.0
20974,33.0,11.0,79.0,7.0
20978,28.0,12.0,79.0,7.0
21210,47.0,24.0,80.0,1.0
21295,80.0,65.0,80.0,3.0
21440,32.0,12.0,81.0,8.0
21556,63.0,51.0,81.0,3.0
21671,95.0,87.0,81.0,3.0
21736,30.0,8.0,82.0,7.0
21742,29.0,9.0,82.0,7.0
21747,30.0,10.0,82.0,8.0
21748,31.0,10.0,82.0,8.0
21752,42.0,10.0,82.0,3.0
21766,38.0,12.0,82.0,3.0
22021,30.0,9.0,83.0,7.0
22229,41.0,93.0,83.0,3.0
22261,71.0,4.0,84.0,3.0
22268,72.0,8.0,84.0,3.0
22834,11.0,39.0,86.0,3.0
23165,60.0,76.0,87.0,3.0
23504,42.0,9.0,89.0,3.0
23801,43.0,56.0,90.0,1.0
24425,45.0,18.0,93.0,1.0
24529,45.0,72.0,93.0,1.0
24705,16.0,43.0,94.0,3.0
24806,33.0,79.0,94.0,3.0
24956,52.0,22.0,95.0,3.0
25145,28.0,3.0,96.0,1.0
25265,4.0,77.0,96.0,3.0
25336,58.0,7.0,97.0,1.0
25889,99.0,2.0,99.0,1.0
25928,19.0,28.0,99.0,1.0
738,99.0,18.0,3.0,3.0
1078,58.0,31.0,4.0,4.0
72,52.0,38.0,0.0,3.0
1072,49.0,28.0,4.0,3.0
784,58.0,39.0,3.0,3.0
1088,49.0,37.0,4.0,3.0
278,31.0,37.0,1.0,3.0
1764,37.0,45.0,6.0,4.0
300,31.0,47.0,1.0,3.0
336,69.0,63.0,1.0,3.0
148,67.0,66.0,0.0,3.0
899,71.0,70.0,3.0,3.0
333,90.0,62.0,1.0,3.0
349,98.0,68.0,1.0,3.0
163,95.0,71.0,0.0,3.0
168,98.0,73.0,0.0,3.0
392,92.0,78.0,1.0,3.0
1196,78.0,76.0,4.0,3.0
201,76.0,93.0,0.0,3.0
228,72.0,98.0,0.0,3.0
655,70.0,91.0,2.0,3.0
660,77.0,92.0,2.0,3.0
438,20.0,95.0,1.0,3.0
452,76.0,98.0,1.0,3.0
1606,69.0,98.0,5.0,3.0
1005,99.0,9.0,4.0,3.0
1034,90.0,18.0,4.0,4.0
510,88.0,32.0,2.0,3.0
1365,89.0,25.0,5.0,3.0
736,80.0,18.0,3.0,3.0
516,79.0,36.0,2.0,3.0
1369,79.0,26.0,5.0,3.0
505,30.0,27.0,2.0,3.0
