node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
11740,71.0,3.0,32.0,3.0
11758,11.0,7.0,32.0,3.0
12103,43.0,9.0,33.0,3.0
12451,56.0,19.0,34.0,3.0
12456,93.0,20.0,34.0,9.0
12670,95.0,89.0,34.0,3.0
12676,47.0,91.0,34.0,3.0
12789,94.0,19.0,35.0,5.0
12807,93.0,22.0,35.0,5.0
12903,37.0,51.0,35.0,7.0
12939,17.0,61.0,35.0,3.0
13243,37.0,48.0,36.0,4.0
13250,19.0,50.0,36.0,1.0
13263,36.0,51.0,36.0,7.0
13269,36.0,52.0,36.0,7.0
13299,55.0,58.0,36.0,4.0
13364,94.0,78.0,36.0,3.0
13976,27.0,67.0,38.0,4.0
14029,52.0,79.0,38.0,4.0
14290,25.0,56.0,39.0,8.0
14327,6.0,68.0,39.0,4.0
14539,17.0,34.0,40.0,3.0
14563,53.0,40.0,40.0,3.0
14594,51.0,47.0,40.0,3.0
14679,63.0,72.0,40.0,3.0
15031,79.0,80.0,41.0,3.0
15138,89.0,12.0,42.0,3.0
15169,6.0,24.0,42.0,7.0
15188,3.0,29.0,42.0,1.0
15208,57.0,33.0,42.0,3.0
15496,5.0,24.0,43.0,6.0
15563,33.0,41.0,43.0,3.0
15586,20.0,50.0,43.0,3.0
15606,97.0,54.0,43.0,3.0
15660,46.0,70.0,43.0,3.0
15789,23.0,1.0,44.0,3.0
15853,61.0,22.0,44.0,3.0
15859,7.0,24.0,44.0,8.0
15860,8.0,24.0,44.0,8.0
15980,44.0,63.0,44.0,7.0
16299,46.0,56.0,45.0,3.0
16332,43.0,64.0,45.0,7.0
16501,1.0,2.0,46.0,1.0
16536,11.0,11.0,46.0,4.0
16576,74.0,26.0,46.0,3.0
16800,7.0,93.0,46.0,4.0
16881,14.0,16.0,47.0,3.0
16893,5.0,20.0,47.0,4.0
16894,73.0,20.0,47.0,6.0
16963,10.0,46.0,47.0,3.0
17236,97.0,20.0,48.0,3.0
17238,72.0,21.0,48.0,6.0
17403,36.0,77.0,48.0,4.0
17423,48.0,82.0,48.0,7.0
17514,70.0,5.0,49.0,3.0
17609,69.0,33.0,49.0,3.0
17691,29.0,63.0,49.0,3.0
17724,65.0,73.0,49.0,8.0
17951,1.0,44.0,50.0,1.0
18044,65.0,72.0,50.0,9.0
18058,63.0,74.0,50.0,6.0
18063,64.0,75.0,50.0,6.0
18196,17.0,20.0,51.0,1.0
18211,34.0,24.0,51.0,3.0
18376,9.0,75.0,51.0,3.0
18529,22.0,20.0,52.0,3.0
18624,38.0,47.0,52.0,3.0
18664,89.0,56.0,52.0,3.0
18682,79.0,60.0,52.0,3.0
18695,87.0,63.0,52.0,3.0
18734,22.0,72.0,52.0,3.0
19047,37.0,44.0,53.0,3.0
19057,40.0,45.0,53.0,3.0
19707,87.0,28.0,55.0,1.0
19762,94.0,53.0,55.0,3.0
19774,10.0,55.0,55.0,3.0
19831,89.0,72.0,55.0,3.0
19855,13.0,79.0,55.0,3.0
19876,55.0,82.0,55.0,3.0
20051,6.0,36.0,56.0,3.0
20065,97.0,39.0,56.0,3.0
20239,71.0,86.0,56.0,8.0
20623,75.0,94.0,57.0,4.0
20778,57.0,39.0,58.0,3.0
20923,61.0,84.0,58.0,3.0
21015,90.0,5.0,59.0,3.0
21240,48.0,65.0,59.0,3.0
21280,79.0,76.0,59.0,3.0
21526,67.0,40.0,60.0,3.0
21540,17.0,43.0,60.0,3.0
21889,18.0,18.0,61.0,3.0
22154,86.0,79.0,61.0,3.0
22532,8.0,84.0,62.0,3.0
22794,94.0,59.0,63.0,3.0
22835,2.0,69.0,63.0,3.0
22998,10.0,15.0,64.0,3.0
23589,69.0,86.0,65.0,5.0
23590,31.0,87.0,65.0,3.0
23679,59.0,9.0,66.0,1.0
23930,68.0,86.0,66.0,6.0
24073,28.0,27.0,67.0,1.0
24100,76.0,34.0,67.0,3.0
24165,43.0,52.0,67.0,3.0
24200,45.0,62.0,67.0,3.0
24203,52.0,62.0,67.0,3.0
24428,71.0,10.0,68.0,3.0
24732,38.0,83.0,68.0,3.0
25020,80.0,58.0,69.0,3.0
25217,39.0,8.0,70.0,4.0
25242,40.0,15.0,70.0,1.0
25603,43.0,2.0,71.0,6.0
25688,88.0,22.0,71.0,3.0
25762,87.0,42.0,71.0,7.0
25824,4.0,65.0,71.0,3.0
25967,5.0,2.0,72.0,1.0
26106,89.0,42.0,72.0,8.0
26110,89.0,43.0,72.0,8.0
26115,89.0,44.0,72.0,7.0
26128,26.0,49.0,72.0,3.0
26311,99.0,99.0,72.0,1.0
26388,28.0,22.0,73.0,6.0
26463,87.0,42.0,73.0,8.0
26481,4.0,46.0,73.0,4.0
26829,20.0,47.0,74.0,3.0
26863,77.0,54.0,74.0,3.0
26983,11.0,84.0,74.0,4.0
27034,95.0,98.0,74.0,4.0
27143,20.0,31.0,75.0,3.0
27175,76.0,40.0,75.0,3.0
27232,55.0,53.0,75.0,5.0
27337,7.0,81.0,75.0,3.0
27365,67.0,89.0,75.0,3.0
27397,96.0,98.0,75.0,6.0
27451,21.0,17.0,76.0,3.0
27603,68.0,52.0,76.0,1.0
27827,62.0,13.0,77.0,3.0
28027,11.0,72.0,77.0,3.0
28069,3.0,85.0,77.0,3.0
28267,43.0,33.0,78.0,3.0
28558,71.0,13.0,79.0,3.0
28725,82.0,60.0,79.0,3.0
29073,87.0,54.0,80.0,6.0
29501,38.0,74.0,81.0,5.0
29502,49.0,75.0,81.0,3.0
29588,14.0,3.0,82.0,3.0
29603,89.0,6.0,82.0,6.0
29644,13.0,14.0,82.0,7.0
29658,14.0,18.0,82.0,6.0
29662,13.0,19.0,82.0,7.0
29683,11.0,24.0,82.0,3.0
29892,12.0,79.0,82.0,3.0
29973,89.0,5.0,83.0,6.0
29976,87.0,6.0,83.0,7.0
29978,90.0,6.0,83.0,8.0
29983,90.0,8.0,83.0,9.0
29985,90.0,9.0,83.0,7.0
29989,89.0,10.0,83.0,9.0
30110,46.0,45.0,83.0,4.0
30359,87.0,7.0,84.0,9.0
30521,59.0,53.0,84.0,3.0
30646,31.0,89.0,84.0,3.0
30775,27.0,23.0,85.0,3.0
31042,51.0,97.0,85.0,3.0
31430,58.0,3.0,87.0,3.0
31827,77.0,18.0,88.0,3.0
31928,92.0,59.0,88.0,3.0
32167,90.0,34.0,89.0,3.0
32291,54.0,69.0,89.0,4.0
32366,23.0,89.0,89.0,3.0
32525,0.0,48.0,90.0,1.0
32551,54.0,52.0,90.0,3.0
32791,52.0,23.0,91.0,3.0
32823,55.0,30.0,91.0,3.0
33528,3.0,32.0,93.0,3.0
33670,44.0,78.0,93.0,3.0
33704,14.0,86.0,93.0,7.0
33966,29.0,58.0,94.0,3.0
34379,11.0,60.0,95.0,3.0
34448,90.0,76.0,95.0,3.0
34716,38.0,47.0,96.0,3.0
34776,46.0,58.0,96.0,6.0
34970,72.0,2.0,97.0,1.0
36097,0.0,85.0,99.0,1.0
3,56.0,2.0,0.0,3.0
24,56.0,6.0,0.0,3.0
919,63.0,4.0,2.0,4.0
18,87.0,5.0,0.0,3.0
27,9.0,7.0,0.0,3.0
1626,14.0,3.0,4.0,3.0
504,50.0,8.0,1.0,3.0
1286,6.0,4.0,3.0,4.0
1643,23.0,6.0,4.0,4.0
503,15.0,8.0,1.0,3.0
60,20.0,13.0,0.0,3.0
1316,23.0,14.0,3.0,3.0
508,84.0,9.0,1.0,3.0
94,84.0,17.0,0.0,3.0
106,98.0,19.0,0.0,3.0
2426,31.0,13.0,6.0,3.0
524,49.0,13.0,1.0,3.0
113,46.0,20.0,0.0,4.0
954,40.0,15.0,2.0,5.0
1331,59.0,18.0,3.0,3.0
556,86.0,19.0,1.0,3.0
2446,80.0,18.0,6.0,3.0
542,95.0,17.0,1.0,3.0
583,97.0,24.0,1.0,3.0
117,32.0,21.0,0.0,3.0
988,40.0,26.0,2.0,3.0
962,40.0,17.0,2.0,3.0
581,45.0,24.0,1.0,3.0
605,31.0,29.0,1.0,3.0
961,31.0,17.0,2.0,3.0
1699,64.0,25.0,4.0,3.0
620,64.0,32.0,1.0,3.0
195,20.0,39.0,0.0,3.0
2134,22.0,45.0,5.0,4.0
654,12.0,41.0,1.0,3.0
