thickness,x1,y1,z1,x2,y2,z2
5.049509756796392,89.0,91.0,3.0,90.0,91.0,3.0
3.932381506195801,61.0,3.0,5.0,62.0,4.0,6.0
5.4311951910930825,47.0,7.0,35.0,46.0,8.0,35.0
3.8643284505408246,5.0,63.0,36.0,4.0,64.0,36.0
4.050278165157308,6.0,23.0,39.0,7.0,23.0,39.0
5.564863726836267,78.0,57.0,44.0,79.0,57.0,44.0
4.121320343559642,8.0,41.0,54.0,9.0,42.0,54.0
4.10689667088676,81.0,11.0,71.0,80.0,12.0,71.0
3.8943803726774897,81.0,11.0,71.0,82.0,12.0,72.0
3.08113883008419,62.0,8.0,79.0,63.0,9.0,79.0
3.802775637731995,59.0,48.0,79.0,58.0,49.0,79.0
5.0,87.0,81.0,80.0,87.0,82.0,80.0
5.385164807134504,42.0,92.0,89.0,42.0,93.0,89.0
3.5291410885646703,81.0,13.0,2.0,80.0,12.0,2.0
4.241002284579167,73.0,59.0,2.0,72.0,59.0,2.0
3.5291410885646703,80.0,12.0,2.0,81.0,13.0,2.0
4.813902747126894,44.0,29.0,6.0,43.0,28.0,6.0
4.7912878474779195,4.0,45.0,2.0,3.0,44.0,3.0
4.241002284579167,72.0,59.0,2.0,73.0,59.0,2.0
3.802775637731995,75.0,76.0,4.0,74.0,77.0,4.0
3.6736043311189652,46.0,96.0,4.0,47.0,95.0,5.0
3.3839144678161843,84.0,16.0,11.0,83.0,15.0,12.0
4.7912878474779195,3.0,44.0,3.0,4.0,45.0,2.0
3.932381506195801,2.0,80.0,12.0,3.0,79.0,13.0
3.802775637731995,74.0,77.0,4.0,75.0,76.0,4.0
4.35284066028675,64.0,91.0,3.0,64.0,92.0,4.0
4.845207879911715,57.0,39.0,10.0,56.0,39.0,10.0
5.049509756796392,90.0,91.0,3.0,89.0,91.0,3.0
4.35284066028675,64.0,92.0,4.0,64.0,91.0,3.0
3.9822251095023313,96.0,7.0,12.0,95.0,8.0,12.0
4.949489742783178,10.0,25.0,9.0,10.0,24.0,9.0
4.813902747126894,43.0,28.0,6.0,44.0,29.0,6.0
4.685557720282968,56.0,55.0,14.0,56.0,56.0,14.0
4.561552812808831,95.0,56.0,8.0,95.0,55.0,9.0
5.242092160363644,61.0,67.0,9.0,62.0,68.0,9.0
5.242092160363644,62.0,68.0,9.0,61.0,67.0,9.0
5.098076211353316,49.0,80.0,10.0,49.0,80.0,11.0
4.242640687119285,86.0,82.0,9.0,86.0,82.0,10.0
3.6736043311189652,47.0,95.0,5.0,46.0,96.0,4.0
3.932381506195801,62.0,4.0,6.0,61.0,3.0,5.0
3.3166247903554,58.0,20.0,6.0,57.0,19.0,7.0
3.390363202746577,12.0,84.0,9.0,12.0,84.0,10.0
4.511042555592008,49.0,30.0,13.0,50.0,29.0,13.0
4.685557720282968,56.0,56.0,14.0,56.0,55.0,14.0
5.610894110794845,43.0,65.0,16.0,43.0,66.0,16.0
3.3166247903554,57.0,19.0,7.0,58.0,20.0,6.0
3.8708286933869704,58.0,23.0,16.0,58.0,24.0,16.0
4.406760692720545,44.0,45.0,16.0,45.0,44.0,16.0
4.561552812808831,44.0,45.0,16.0,45.0,44.0,17.0
4.949489742783178,10.0,24.0,9.0,10.0,25.0,9.0
4.47213595499958,81.0,37.0,16.0,82.0,38.0,16.0
3.6583123951777,30.0,36.0,11.0,31.0,35.0,12.0
4.561552812808831,95.0,55.0,9.0,95.0,56.0,8.0
5.049509756796392,51.0,10.0,9.0,50.0,10.0,10.0
5.049509756796392,50.0,10.0,10.0,51.0,10.0,9.0
4.845207879911715,56.0,39.0,10.0,57.0,39.0,10.0
4.406760692720545,45.0,44.0,16.0,44.0,45.0,16.0
4.845207879911715,45.0,44.0,16.0,45.0,44.0,17.0
4.412608191037562,69.0,72.0,13.0,69.0,72.0,14.0
4.242640687119285,86.0,82.0,10.0,86.0,82.0,9.0
3.390363202746577,12.0,84.0,10.0,12.0,84.0,9.0
5.049509756796392,68.0,29.0,19.0,67.0,28.0,20.0
4.511042555592008,50.0,29.0,13.0,49.0,30.0,13.0
4.412608191037562,85.0,79.0,12.0,85.0,80.0,12.0
5.098076211353316,49.0,80.0,11.0,49.0,80.0,10.0
4.412608191037562,85.0,80.0,12.0,85.0,79.0,12.0
3.932381506195801,3.0,79.0,13.0,2.0,80.0,12.0
3.9822251095023313,95.0,8.0,12.0,96.0,7.0,12.0
3.3839144678161843,83.0,15.0,12.0,84.0,16.0,11.0
3.6583123951777,31.0,35.0,12.0,30.0,36.0,11.0
