thickness,x1,y1,z1,x2,y2,z2
1.0,99.0,8.0,0.0,99.0,9.0,0.0
5.049509756796392,47.0,7.0,2.0,47.0,8.0,3.0
6.274664681905207,83.0,94.0,5.0,84.0,93.0,6.0
5.385164807134504,77.0,44.0,36.0,77.0,45.0,36.0
4.2976207903086205,85.0,6.0,48.0,86.0,7.0,48.0
4.061552812808831,89.0,56.0,61.0,88.0,57.0,61.0
5.830321214818822,36.0,38.0,86.0,37.0,38.0,86.0
4.785577734296182,88.0,32.0,90.0,89.0,31.0,91.0
5.0990195135927845,88.0,32.0,90.0,88.0,33.0,90.0
1.0,99.0,9.0,0.0,99.0,8.0,0.0
5.049509756796392,47.0,8.0,3.0,47.0,7.0,2.0
4.561552812808831,29.0,11.0,3.0,28.0,12.0,4.0
5.873515838972459,15.0,27.0,9.0,15.0,28.0,10.0
5.4311951910930825,53.0,36.0,9.0,52.0,37.0,10.0
4.894717636708107,69.0,41.0,2.0,68.0,42.0,2.0
4.894717636708107,68.0,42.0,2.0,69.0,41.0,2.0
6.4802813808674244,32.0,59.0,5.0,31.0,60.0,4.0
6.4802813808674244,31.0,60.0,4.0,32.0,59.0,5.0
6.518186909071824,84.0,92.0,6.0,84.0,93.0,6.0
4.561552812808831,28.0,12.0,4.0,29.0,11.0,3.0
3.1583123951777,48.0,3.0,15.0,49.0,3.0,16.0
6.274664681905207,84.0,93.0,6.0,83.0,94.0,5.0
6.518186909071824,84.0,93.0,6.0,84.0,92.0,6.0
4.621320343559642,35.0,5.0,16.0,35.0,6.0,17.0
5.4217910800654066,6.0,18.0,11.0,7.0,18.0,10.0
5.4311951910930825,52.0,37.0,10.0,53.0,36.0,9.0
5.4217910800654066,7.0,18.0,10.0,6.0,18.0,11.0
5.873515838972459,15.0,28.0,10.0,15.0,27.0,9.0
5.8698083898953,73.0,36.0,18.0,74.0,37.0,18.0
5.77999405267494,73.0,36.0,18.0,74.0,35.0,19.0
6.164414002968976,25.0,27.0,14.0,24.0,26.0,14.0
6.164414002968976,24.0,26.0,14.0,25.0,27.0,14.0
5.958039891549808,43.0,19.0,18.0,43.0,19.0,19.0
4.47213595499958,36.0,43.0,18.0,36.0,42.0,18.0
5.238612787525831,59.0,53.0,17.0,59.0,54.0,18.0
4.061552812808831,28.0,32.0,22.0,28.0,33.0,22.0
4.47213595499958,36.0,42.0,18.0,36.0,43.0,18.0
3.3166247903554,50.0,4.0,16.0,49.0,3.0,16.0
3.1583123951777,49.0,3.0,16.0,48.0,3.0,15.0
3.3166247903554,49.0,3.0,16.0,50.0,4.0,16.0
5.700708448015204,22.0,17.0,21.0,22.0,16.0,22.0
6.159602010266232,32.0,70.0,22.0,32.0,71.0,23.0
6.2444846616528675,78.0,77.0,21.0,78.0,78.0,22.0
6.159602010266232,32.0,71.0,23.0,32.0,70.0,22.0
5.787757270691665,64.0,16.0,21.0,65.0,17.0,21.0
4.621320343559642,35.0,6.0,17.0,35.0,5.0,16.0
6.082207001484488,41.0,53.0,26.0,40.0,52.0,25.0
5.549509756796392,41.0,53.0,26.0,40.0,54.0,27.0
5.8698083898953,74.0,37.0,18.0,73.0,36.0,18.0
5.238612787525831,59.0,54.0,18.0,59.0,53.0,17.0
5.77999405267494,74.0,35.0,19.0,73.0,36.0,18.0
4.061552812808831,28.0,33.0,22.0,28.0,32.0,22.0
4.121320343559642,96.0,36.0,20.0,97.0,35.0,21.0
7.141085181396727,81.0,42.0,20.0,80.0,43.0,20.0
5.958039891549808,43.0,19.0,19.0,43.0,19.0,18.0
5.507549648346201,43.0,19.0,19.0,44.0,20.0,20.0
5.787757270691665,28.0,13.0,25.0,27.0,12.0,25.0
5.507549648346201,44.0,20.0,20.0,43.0,19.0,19.0
5.787757270691665,65.0,17.0,21.0,64.0,16.0,21.0
6.66227766016838,5.0,63.0,29.0,6.0,63.0,29.0
6.697811566101118,9.0,39.0,20.0,10.0,38.0,21.0
6.697811566101118,10.0,38.0,21.0,9.0,39.0,20.0
7.141085181396727,80.0,43.0,20.0,81.0,42.0,20.0
5.464985704219043,93.0,58.0,25.0,93.0,59.0,26.0
4.73606797749979,9.0,4.0,23.0,9.0,4.0,24.0
5.0,59.0,12.0,30.0,59.0,11.0,30.0
5.700708448015204,22.0,16.0,22.0,22.0,17.0,21.0
4.121320343559642,97.0,35.0,21.0,96.0,36.0,20.0
6.0777536075910294,15.0,41.0,28.0,16.0,41.0,29.0
6.66227766016838,6.0,63.0,29.0,5.0,63.0,29.0
6.2444846616528675,78.0,78.0,22.0,78.0,77.0,21.0
5.787757270691665,27.0,12.0,25.0,28.0,13.0,25.0
5.192582403567252,90.0,22.0,26.0,90.0,21.0,27.0
4.73606797749979,9.0,4.0,24.0,9.0,4.0,23.0
6.040246893034296,83.0,93.0,32.0,82.0,93.0,32.0
6.082207001484488,40.0,52.0,25.0,41.0,53.0,26.0
4.58257569495584,22.0,3.0,33.0,23.0,4.0,33.0
4.58257569495584,23.0,4.0,33.0,22.0,3.0,33.0
5.290658614920568,31.0,20.0,35.0,32.0,21.0,35.0
5.464985704219043,93.0,59.0,26.0,93.0,58.0,25.0
5.192582403567252,90.0,21.0,27.0,90.0,22.0,26.0
5.549509756796392,40.0,54.0,27.0,41.0,53.0,26.0
5.564863726836267,85.0,71.0,32.0,85.0,71.0,33.0
6.159602010266232,23.0,92.0,36.0,24.0,91.0,37.0
4.99899949957957,53.0,50.0,36.0,52.0,51.0,36.0
5.290658614920568,32.0,21.0,35.0,31.0,20.0,35.0
5.0,59.0,11.0,30.0,59.0,12.0,30.0
6.0777536075910294,16.0,41.0,29.0,15.0,41.0,28.0
5.711787416964771,16.0,41.0,29.0,15.0,41.0,30.0
5.549509756796392,34.0,42.0,39.0,35.0,43.0,40.0
5.711787416964771,15.0,41.0,30.0,16.0,41.0,29.0
6.040246893034296,82.0,93.0,32.0,83.0,93.0,32.0
4.685557720282968,53.0,4.0,42.0,52.0,4.0,42.0
5.564863726836267,85.0,71.0,33.0,85.0,71.0,32.0
4.99899949957957,52.0,51.0,36.0,53.0,50.0,36.0
7.175588850572996,51.0,70.0,40.0,50.0,70.0,41.0
5.549509756796392,35.0,43.0,40.0,34.0,42.0,39.0
6.854101966249685,14.0,86.0,46.0,15.0,85.0,46.0
6.5,14.0,86.0,46.0,15.0,86.0,45.0
5.192582403567252,95.0,44.0,42.0,94.0,45.0,43.0
5.385164807134504,77.0,45.0,36.0,77.0,44.0,36.0
4.685557720282968,74.0,8.0,37.0,75.0,9.0,37.0
4.685557720282968,75.0,9.0,37.0,74.0,8.0,37.0
4.47213595499958,46.0,55.0,36.0,46.0,55.0,37.0
4.47213595499958,46.0,55.0,37.0,46.0,55.0,36.0
6.159602010266232,24.0,91.0,37.0,23.0,92.0,36.0
3.605551275463989,86.0,4.0,44.0,87.0,3.0,43.0
6.23210073777805,45.0,15.0,39.0,44.0,14.0,40.0
6.2444846616528675,60.0,21.0,38.0,61.0,20.0,39.0
6.2444846616528675,61.0,20.0,39.0,60.0,21.0,38.0
5.954488324753502,61.0,20.0,39.0,61.0,20.0,40.0
5.0,39.0,47.0,43.0,38.0,47.0,42.0
6.854101966249685,15.0,85.0,46.0,14.0,86.0,46.0
6.354101966249685,15.0,85.0,46.0,15.0,86.0,45.0
5.238612787525831,3.0,66.0,53.0,4.0,67.0,53.0
6.5,15.0,86.0,45.0,14.0,86.0,46.0
6.354101966249685,15.0,86.0,45.0,15.0,85.0,46.0
6.24037034920393,10.0,25.0,45.0,11.0,26.0,46.0
6.23210073777805,44.0,14.0,40.0,45.0,15.0,39.0
5.954488324753502,61.0,20.0,40.0,61.0,20.0,39.0
4.685557720282968,52.0,4.0,42.0,53.0,4.0,42.0
5.590891021945502,42.0,23.0,51.0,43.0,24.0,52.0
4.785577734296182,61.0,21.0,52.0,61.0,20.0,53.0
6.24037034920393,11.0,26.0,46.0,10.0,25.0,45.0
5.0,38.0,47.0,42.0,39.0,47.0,43.0
7.175588850572996,50.0,70.0,41.0,51.0,70.0,40.0
3.605551275463989,87.0,3.0,43.0,86.0,4.0,44.0
4.182873156368473,96.0,5.0,52.0,97.0,6.0,53.0
5.192582403567252,94.0,45.0,43.0,95.0,44.0,42.0
4.511042555592008,19.0,45.0,46.0,20.0,44.0,47.0
5.242092160363644,85.0,16.0,51.0,85.0,15.0,52.0
4.2976207903086205,86.0,7.0,48.0,85.0,6.0,48.0
5.242092160363644,27.0,32.0,47.0,27.0,33.0,48.0
6.0777536075910294,72.0,49.0,55.0,71.0,48.0,56.0
