thickness,x1,y1,z1,x2,y2,z2
2.23606797749979,90.0,16.0,0.0,89.0,17.0,1.0
1.0,0.0,33.0,0.0,0.0,34.0,0.0
2.2802389661575337,33.0,14.0,2.0,34.0,15.0,3.0
2.342778860141484,67.0,22.0,2.0,67.0,22.0,3.0
2.224744871391589,93.0,40.0,2.0,92.0,41.0,3.0
2.23606797749979,94.0,69.0,2.0,95.0,70.0,3.0
2.342778860141484,40.0,90.0,2.0,40.0,90.0,3.0
2.23606797749979,17.0,12.0,3.0,18.0,13.0,4.0
2.118033988749895,51.0,52.0,3.0,51.0,53.0,3.0
2.118033988749895,86.0,3.0,5.0,86.0,4.0,5.0
2.618033988749895,86.0,3.0,5.0,85.0,4.0,6.0
3.302775637731995,89.0,3.0,5.0,90.0,3.0,5.0
2.618033988749895,89.0,3.0,5.0,88.0,4.0,5.0
2.914213562373095,89.0,3.0,5.0,89.0,4.0,5.0
3.302775637731995,89.0,3.0,5.0,90.0,4.0,5.0
3.302775637731995,90.0,3.0,5.0,89.0,3.0,5.0
3.2169892001050897,90.0,3.0,5.0,89.0,4.0,5.0
3.605551275463989,90.0,3.0,5.0,90.0,4.0,5.0
3.605551275463989,90.0,3.0,5.0,91.0,4.0,6.0
3.605551275463989,90.0,3.0,5.0,91.0,3.0,6.0
2.118033988749895,86.0,4.0,5.0,86.0,3.0,5.0
2.5,86.0,4.0,5.0,85.0,4.0,6.0
2.0,86.0,4.0,5.0,86.0,5.0,5.0
2.0,86.0,4.0,5.0,87.0,5.0,5.0
2.5,86.0,4.0,5.0,85.0,5.0,6.0
2.618033988749895,93.0,22.0,5.0,93.0,22.0,6.0
2.618033988749895,85.0,4.0,6.0,86.0,3.0,5.0
2.5,85.0,4.0,6.0,86.0,4.0,5.0
2.5,85.0,4.0,6.0,86.0,5.0,5.0
3.0,85.0,4.0,6.0,85.0,5.0,6.0
3.08113883008419,85.0,4.0,6.0,85.0,4.0,7.0
3.1583123951777,85.0,4.0,6.0,85.0,5.0,7.0
2.23606797749979,88.0,1.0,7.0,87.0,1.0,8.0
2.118033988749895,88.0,1.0,7.0,88.0,1.0,8.0
3.0275205091235833,90.0,2.0,7.0,91.0,3.0,6.0
2.724744871391589,90.0,2.0,7.0,91.0,2.0,8.0
3.302775637731995,92.0,4.0,7.0,92.0,5.0,8.0
3.605551275463989,92.0,4.0,7.0,91.0,4.0,6.0
3.605551275463989,92.0,4.0,7.0,91.0,3.0,6.0
3.302775637731995,92.0,4.0,7.0,91.0,5.0,7.0
2.8284271247461903,90.0,6.0,7.0,89.0,7.0,7.0
2.914213562373095,90.0,6.0,7.0,90.0,5.0,6.0
2.914213562373095,90.0,6.0,7.0,89.0,6.0,6.0
2.914213562373095,90.0,6.0,7.0,91.0,5.0,7.0
2.53224755112299,90.0,6.0,7.0,89.0,7.0,8.0
2.8284271247461903,89.0,7.0,7.0,90.0,6.0,7.0
2.914213562373095,89.0,7.0,7.0,89.0,6.0,6.0
2.53224755112299,89.0,7.0,7.0,89.0,7.0,8.0
2.53224755112299,89.0,7.0,7.0,88.0,7.0,8.0
3.802775637731995,84.0,4.0,8.0,83.0,3.0,9.0
3.58113883008419,84.0,4.0,8.0,85.0,4.0,7.0
3.6583123951777,84.0,4.0,8.0,85.0,5.0,7.0
4.0,84.0,4.0,8.0,84.0,5.0,9.0
4.061552812808831,84.0,4.0,8.0,83.0,5.0,9.0
3.302775637731995,92.0,5.0,8.0,92.0,4.0,7.0
3.0,92.0,5.0,8.0,91.0,5.0,7.0
2.618033988749895,92.0,5.0,8.0,91.0,6.0,9.0
3.0,92.0,5.0,8.0,92.0,4.0,9.0
2.0907702751760278,13.0,6.0,8.0,14.0,6.0,8.0
3.1583123951777,86.0,7.0,8.0,85.0,6.0,8.0
3.232050807568877,86.0,7.0,8.0,86.0,7.0,7.0
3.0,86.0,7.0,8.0,87.0,7.0,7.0
2.342778860141484,87.0,1.0,9.0,87.0,1.0,8.0
2.224744871391589,87.0,1.0,9.0,88.0,1.0,8.0
2.724744871391589,87.0,1.0,9.0,86.0,2.0,10.0
2.449489742783178,87.0,1.0,9.0,87.0,2.0,10.0
3.802775637731995,83.0,3.0,9.0,84.0,4.0,8.0
3.0275205091235833,83.0,3.0,9.0,82.0,2.0,10.0
3.605551275463989,83.0,3.0,9.0,84.0,3.0,10.0
3.4610880329096947,83.0,3.0,9.0,82.0,4.0,9.0
3.6736043311189652,83.0,3.0,9.0,84.0,4.0,10.0
1.8251407699364424,89.0,6.0,9.0,89.0,7.0,8.0
1.8251407699364424,89.0,6.0,9.0,88.0,7.0,8.0
1.7071067811865475,89.0,6.0,9.0,90.0,7.0,9.0
1.7071067811865475,89.0,6.0,9.0,90.0,6.0,10.0
2.914213562373095,80.0,7.0,9.0,80.0,6.0,10.0
3.0,80.0,7.0,9.0,81.0,6.0,10.0
2.342778860141484,81.0,2.0,10.0,82.0,2.0,10.0
2.618033988749895,81.0,2.0,10.0,81.0,3.0,9.0
2.23606797749979,81.0,2.0,10.0,80.0,3.0,10.0
1.8251407699364424,81.0,2.0,10.0,81.0,2.0,11.0
1.9840593925343335,81.0,2.0,10.0,82.0,2.0,11.0
1.9840593925343335,81.0,2.0,10.0,80.0,2.0,11.0
3.0275205091235833,82.0,2.0,10.0,83.0,3.0,9.0
2.342778860141484,82.0,2.0,10.0,81.0,2.0,10.0
2.724744871391589,82.0,2.0,10.0,81.0,3.0,9.0
1.9318516525781364,82.0,2.0,10.0,81.0,2.0,11.0
2.0907702751760278,82.0,2.0,10.0,82.0,2.0,11.0
2.449489742783178,82.0,2.0,10.0,83.0,2.0,11.0
3.605551275463989,84.0,3.0,10.0,83.0,3.0,9.0
3.4610880329096947,84.0,3.0,10.0,85.0,3.0,10.0
3.6736043311189652,84.0,3.0,10.0,84.0,4.0,10.0
3.0275205091235833,84.0,3.0,10.0,83.0,2.0,11.0
3.3839144678161843,84.0,3.0,10.0,84.0,3.0,11.0
3.4610880329096947,84.0,3.0,10.0,84.0,4.0,11.0
2.23606797749979,79.0,3.0,11.0,80.0,3.0,10.0
2.618033988749895,79.0,3.0,11.0,79.0,4.0,10.0
1.9840593925343335,79.0,3.0,11.0,80.0,2.0,11.0
1.618033988749895,79.0,3.0,11.0,80.0,3.0,12.0
3.602879500955848,83.0,6.0,11.0,83.0,7.0,10.0
3.732050807568877,83.0,6.0,11.0,84.0,6.0,10.0
3.232050807568877,83.0,6.0,11.0,82.0,6.0,11.0
3.232050807568877,83.0,6.0,11.0,83.0,6.0,12.0
2.956795678960466,83.0,6.0,11.0,82.0,6.0,12.0
2.8058837014757785,87.0,3.0,12.0,87.0,2.0,13.0
2.699172818834085,87.0,3.0,12.0,86.0,4.0,13.0
3.08113883008419,87.0,3.0,12.0,87.0,2.0,11.0
3.08113883008419,87.0,3.0,12.0,88.0,3.0,12.0
2.699172818834085,87.0,3.0,12.0,87.0,3.0,13.0
3.0,89.0,4.0,12.0,90.0,4.0,13.0
2.618033988749895,89.0,4.0,12.0,89.0,3.0,11.0
2.724744871391589,89.0,4.0,12.0,90.0,5.0,11.0
2.618033988749895,89.0,4.0,12.0,90.0,4.0,11.0
3.0,89.0,4.0,12.0,88.0,3.0,12.0
2.724744871391589,89.0,4.0,12.0,88.0,5.0,13.0
2.618033988749895,89.0,4.0,12.0,89.0,3.0,13.0
3.0,89.0,4.0,12.0,89.0,5.0,13.0
2.618033988749895,89.0,4.0,12.0,88.0,5.0,12.0
1.618033988749895,18.0,16.0,12.0,18.0,17.0,13.0
2.23606797749979,18.0,16.0,12.0,18.0,15.0,13.0
1.618033988749895,18.0,16.0,12.0,19.0,17.0,13.0
2.8058837014757785,87.0,2.0,13.0,87.0,3.0,12.0
2.449489742783178,87.0,2.0,13.0,87.0,1.0,14.0
2.342778860141484,87.0,2.0,13.0,88.0,1.0,14.0
2.724744871391589,87.0,2.0,13.0,88.0,3.0,12.0
2.342778860141484,87.0,2.0,13.0,87.0,3.0,13.0
1.9318516525781364,87.0,2.0,13.0,87.0,3.0,14.0
1.3660254037844386,80.0,4.0,13.0,80.0,3.0,12.0
2.2802389661575337,80.0,4.0,13.0,79.0,5.0,12.0
2.3660254037844384,80.0,4.0,13.0,79.0,5.0,13.0
2.699172818834085,86.0,4.0,13.0,87.0,3.0,12.0
1.8251407699364424,86.0,4.0,13.0,87.0,5.0,14.0
2.53224755112299,86.0,4.0,13.0,85.0,3.0,13.0
2.342778860141484,86.0,4.0,13.0,87.0,5.0,12.0
2.23606797749979,86.0,4.0,13.0,87.0,3.0,13.0
2.699172818834085,86.0,4.0,13.0,85.0,4.0,12.0
1.8251407699364424,86.0,4.0,13.0,87.0,3.0,14.0
3.0,90.0,4.0,13.0,89.0,4.0,12.0
3.08113883008419,90.0,4.0,13.0,91.0,5.0,14.0
2.618033988749895,90.0,4.0,13.0,89.0,3.0,13.0
3.0,90.0,4.0,13.0,89.0,5.0,13.0
2.342778860141484,86.0,6.0,13.0,87.0,6.0,13.0
2.53224755112299,86.0,6.0,13.0,85.0,7.0,13.0
1.8251407699364424,86.0,6.0,13.0,87.0,5.0,14.0
2.342778860141484,86.0,6.0,13.0,87.0,5.0,12.0
2.699172818834085,86.0,6.0,13.0,85.0,6.0,12.0
2.53224755112299,86.0,6.0,13.0,86.0,7.0,13.0
2.342778860141484,86.0,6.0,13.0,87.0,7.0,13.0
2.23606797749979,86.0,6.0,13.0,85.0,7.0,14.0
2.342778860141484,87.0,6.0,13.0,86.0,6.0,13.0
1.9318516525781364,87.0,6.0,13.0,87.0,5.0,14.0
2.449489742783178,87.0,6.0,13.0,87.0,5.0,12.0
2.449489742783178,87.0,6.0,13.0,88.0,5.0,13.0
2.342778860141484,87.0,6.0,13.0,88.0,5.0,12.0
2.342778860141484,87.0,6.0,13.0,88.0,7.0,13.0
2.6389584337646843,87.0,6.0,13.0,86.0,7.0,13.0
2.449489742783178,87.0,6.0,13.0,87.0,7.0,13.0
2.0907702751760278,87.0,6.0,13.0,88.0,5.0,14.0
2.53224755112299,85.0,7.0,13.0,86.0,6.0,13.0
2.995352392457285,85.0,7.0,13.0,85.0,6.0,12.0
2.8284271247461903,85.0,7.0,13.0,86.0,7.0,13.0
2.6389584337646843,85.0,7.0,13.0,84.0,7.0,14.0
2.53224755112299,85.0,7.0,13.0,85.0,7.0,14.0
2.914213562373095,85.0,7.0,13.0,86.0,8.0,14.0
1.618033988749895,18.0,17.0,13.0,18.0,16.0,12.0
1.0,18.0,17.0,13.0,19.0,18.0,13.0
1.0,18.0,17.0,13.0,19.0,17.0,13.0
1.0,18.0,17.0,13.0,17.0,17.0,14.0
2.449489742783178,87.0,1.0,14.0,87.0,2.0,13.0
2.342778860141484,87.0,1.0,14.0,88.0,1.0,14.0
2.342778860141484,87.0,1.0,14.0,87.0,1.0,15.0
2.224744871391589,87.0,1.0,14.0,88.0,1.0,15.0
2.342778860141484,87.0,1.0,14.0,86.0,2.0,15.0
2.342778860141484,88.0,1.0,14.0,87.0,2.0,13.0
2.342778860141484,88.0,1.0,14.0,87.0,1.0,14.0
2.342778860141484,88.0,1.0,14.0,89.0,1.0,14.0
2.23606797749979,88.0,1.0,14.0,87.0,1.0,15.0
2.118033988749895,88.0,1.0,14.0,88.0,1.0,15.0
2.23606797749979,88.0,1.0,14.0,89.0,1.0,15.0
2.342778860141484,89.0,1.0,14.0,88.0,1.0,14.0
2.224744871391589,89.0,1.0,14.0,88.0,1.0,15.0
2.342778860141484,89.0,1.0,14.0,89.0,1.0,15.0
2.6389584337646843,85.0,2.0,14.0,84.0,3.0,14.0
2.8284271247461903,85.0,2.0,14.0,85.0,3.0,13.0
2.121320343559643,85.0,2.0,14.0,86.0,3.0,15.0
2.53224755112299,85.0,2.0,14.0,86.0,2.0,15.0
2.6389584337646843,84.0,3.0,14.0,85.0,2.0,14.0
2.6389584337646843,84.0,3.0,14.0,85.0,3.0,13.0
2.449489742783178,84.0,3.0,14.0,83.0,4.0,13.0
2.449489742783178,84.0,3.0,14.0,83.0,4.0,14.0
1.8251407699364424,87.0,5.0,14.0,86.0,4.0,13.0
1.8251407699364424,87.0,5.0,14.0,86.0,6.0,13.0
1.9318516525781364,87.0,5.0,14.0,87.0,6.0,13.0
1.9318516525781364,87.0,5.0,14.0,88.0,5.0,13.0
1.4142135623730951,87.0,5.0,14.0,88.0,5.0,15.0
1.5731321849709863,87.0,5.0,14.0,88.0,5.0,14.0
3.08113883008419,91.0,5.0,14.0,90.0,4.0,13.0
3.4519675234711604,91.0,5.0,14.0,90.0,6.0,14.0
2.995352392457285,91.0,5.0,14.0,90.0,5.0,15.0
3.4519675234711604,90.0,6.0,14.0,91.0,5.0,14.0
3.3708286933869704,90.0,6.0,14.0,89.0,5.0,13.0
3.285042255760066,90.0,6.0,14.0,89.0,6.0,15.0
