node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
1472,86.0,47.0,7.0,3.0
1287,90.0,56.0,6.0,3.0
943,17.0,65.0,4.0,3.0
927,5.0,54.0,4.0,3.0
761,7.0,67.0,3.0,3.0
1679,1.0,69.0,8.0,3.0
944,8.0,66.0,4.0,3.0
1856,38.0,69.0,9.0,4.0
969,37.0,85.0,4.0,3.0
973,72.0,85.0,4.0,3.0
1163,82.0,86.0,5.0,4.0
1336,3.0,97.0,6.0,3.0
1317,3.0,84.0,6.0,3.0
1525,14.0,96.0,7.0,4.0
1311,14.0,83.0,6.0,4.0
1357,85.0,2.0,7.0,3.0
1358,94.0,2.0,7.0,3.0
1754,65.0,9.0,9.0,3.0
1370,34.0,10.0,7.0,3.0
1218,3.0,14.0,6.0,3.0
1020,6.0,9.0,5.0,3.0
1042,26.0,18.0,5.0,3.0
1746,32.0,8.0,9.0,3.0
1023,25.0,9.0,5.0,3.0
1600,87.0,23.0,8.0,3.0
1061,41.0,35.0,5.0,4.0
2017,42.0,27.0,10.0,3.0
1062,52.0,35.0,5.0,5.0
893,62.0,35.0,4.0,3.0
1250,64.0,36.0,6.0,3.0
1410,65.0,35.0,7.0,3.0
1412,75.0,36.0,7.0,3.0
1266,38.0,45.0,6.0,3.0
1120,29.0,55.0,5.0,3.0
1096,53.0,48.0,5.0,3.0
2521,54.0,57.0,12.0,3.0
2525,42.0,58.0,12.0,3.0
1670,79.0,58.0,8.0,3.0
1483,91.0,57.0,7.0,3.0
1134,14.0,67.0,5.0,3.0
1840,6.0,58.0,9.0,4.0
1171,48.0,88.0,5.0,3.0
2351,49.0,80.0,11.0,3.0
2349,37.0,79.0,11.0,3.0
1166,60.0,87.0,5.0,3.0
990,69.0,87.0,4.0,3.0
2586,72.0,81.0,12.0,3.0
2362,70.0,92.0,11.0,3.0
2622,96.0,97.0,12.0,4.0
1543,22.0,1.0,8.0,3.0
1757,23.0,10.0,9.0,3.0
1391,29.0,20.0,7.0,3.0
1775,51.0,19.0,9.0,3.0
1231,19.0,21.0,6.0,3.0
1232,77.0,21.0,6.0,3.0
2268,43.0,28.0,11.0,4.0
1436,39.0,40.0,7.0,3.0
1243,52.0,35.0,6.0,3.0
1420,94.0,37.0,7.0,4.0
1264,27.0,45.0,6.0,3.0
1270,14.0,46.0,6.0,3.0
1117,17.0,54.0,5.0,3.0
1267,50.0,45.0,6.0,3.0
1469,74.0,46.0,7.0,3.0
2045,17.0,56.0,10.0,3.0
2520,29.0,57.0,12.0,3.0
1278,65.0,48.0,6.0,3.0
2759,67.0,57.0,13.0,3.0
1491,14.0,69.0,7.0,3.0
1312,26.0,83.0,6.0,3.0
1889,35.0,90.0,9.0,3.0
1172,84.0,88.0,5.0,3.0
2354,82.0,83.0,11.0,3.0
1175,93.0,88.0,5.0,3.0
2589,95.0,82.0,12.0,3.0
2363,58.0,95.0,11.0,3.0
1902,47.0,93.0,9.0,3.0
2132,83.0,96.0,10.0,3.0
2888,96.0,91.0,13.0,3.0
1748,83.0,8.0,9.0,4.0
1205,14.0,8.0,6.0,4.0
1363,14.0,9.0,7.0,4.0
1970,2.0,15.0,10.0,3.0
1765,10.0,16.0,9.0,3.0
1781,62.0,20.0,9.0,4.0
1790,70.0,22.0,9.0,3.0
1578,20.0,18.0,8.0,3.0
1801,18.0,25.0,9.0,3.0
1791,80.0,22.0,9.0,3.0
1802,8.0,26.0,9.0,3.0
2275,52.0,30.0,11.0,3.0
1275,62.0,46.0,6.0,3.0
1610,76.0,35.0,8.0,3.0
2027,88.0,35.0,10.0,3.0
1461,26.0,44.0,7.0,4.0
1627,51.0,40.0,8.0,3.0
1460,14.0,44.0,7.0,4.0
1650,60.0,46.0,8.0,3.0
2348,26.0,78.0,11.0,4.0
2123,3.0,89.0,10.0,3.0
1526,25.0,96.0,7.0,4.0
1553,93.0,3.0,8.0,3.0
1969,11.0,14.0,10.0,4.0
1759,42.0,10.0,9.0,3.0
1752,41.0,9.0,9.0,3.0
1779,40.0,20.0,9.0,3.0
1769,41.0,19.0,9.0,3.0
1587,50.0,20.0,8.0,3.0
1400,29.0,22.0,7.0,3.0
1575,32.0,16.0,8.0,3.0
2257,29.0,25.0,11.0,3.0
2278,63.0,31.0,11.0,3.0
1646,75.0,45.0,8.0,3.0
1454,14.0,43.0,7.0,4.0
1810,89.0,35.0,9.0,3.0
3425,98.0,38.0,16.0,3.0
1655,94.0,46.0,8.0,3.0
1462,38.0,44.0,7.0,4.0
3421,42.0,37.0,16.0,5.0
1815,20.0,38.0,9.0,3.0
3203,13.0,46.0,15.0,4.0
1622,21.0,39.0,8.0,3.0
1615,31.0,37.0,8.0,3.0
3204,25.0,46.0,15.0,4.0
3211,36.0,48.0,15.0,4.0
3212,48.0,48.0,15.0,3.0
2042,70.0,47.0,10.0,3.0
1647,83.0,45.0,8.0,3.0
2044,91.0,49.0,10.0,4.0
2055,91.0,60.0,10.0,3.0
2062,34.0,66.0,10.0,3.0
2798,12.0,64.0,13.0,3.0
1499,15.0,72.0,7.0,3.0
2347,13.0,77.0,11.0,4.0
2127,24.0,90.0,10.0,3.0
1527,14.0,97.0,7.0,4.0
2124,13.0,89.0,10.0,3.0
1718,24.0,97.0,8.0,3.0
2376,9.0,99.0,11.0,3.0
1551,14.0,2.0,8.0,3.0
1920,23.0,1.0,10.0,3.0
2396,13.0,2.0,12.0,3.0
1951,92.0,8.0,10.0,3.0
2394,92.0,1.0,12.0,3.0
2195,59.0,8.0,11.0,3.0
1955,52.0,10.0,10.0,3.0
2450,20.0,15.0,12.0,4.0
1594,51.0,22.0,8.0,3.0
1593,96.0,21.0,8.0,5.0
2469,51.0,26.0,12.0,3.0
3392,97.0,23.0,16.0,3.0
2006,89.0,25.0,10.0,3.0
2491,74.0,33.0,12.0,3.0
2296,80.0,46.0,11.0,3.0
2043,92.0,48.0,10.0,3.0
2345,2.0,77.0,11.0,3.0
1859,61.0,69.0,9.0,3.0
1855,26.0,69.0,9.0,3.0
1758,32.0,10.0,9.0,3.0
1949,82.0,8.0,10.0,3.0
2412,40.0,4.0,12.0,3.0
2190,69.0,7.0,11.0,3.0
2433,95.0,9.0,12.0,3.0
2416,22.0,5.0,12.0,3.0
