node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
28,20.0,7.0,0.0,3.0
39,98.0,37.0,0.0,1.0
43,99.0,50.0,0.0,1.0
52,90.0,55.0,0.0,3.0
91,0.0,61.0,0.0,1.0
106,20.0,76.0,0.0,3.0
131,15.0,89.0,0.0,3.0
153,52.0,4.0,1.0,3.0
167,3.0,5.0,1.0,1.0
182,31.0,6.0,1.0,3.0
183,41.0,6.0,1.0,3.0
187,62.0,6.0,1.0,3.0
188,74.0,6.0,1.0,3.0
221,85.0,14.0,1.0,1.0
224,97.0,15.0,1.0,1.0
237,35.0,29.0,1.0,1.0
250,39.0,39.0,1.0,3.0
255,3.0,41.0,1.0,3.0
271,13.0,42.0,1.0,4.0
299,78.0,56.0,1.0,1.0
310,29.0,59.0,1.0,3.0
317,50.0,60.0,1.0,3.0
318,18.0,61.0,1.0,3.0
353,28.0,69.0,1.0,3.0
356,8.0,70.0,1.0,3.0
357,18.0,70.0,1.0,3.0
491,76.0,97.0,1.0,3.0
498,3.0,99.0,1.0,1.0
573,12.0,29.0,2.0,1.0
604,64.0,56.0,2.0,4.0
640,78.0,71.0,2.0,3.0
686,64.0,90.0,2.0,3.0
782,47.0,40.0,3.0,3.0
816,64.0,67.0,3.0,3.0
879,97.0,97.0,3.0,3.0
1036,89.0,70.0,4.0,3.0
1051,93.0,87.0,4.0,3.0
1126,56.0,27.0,5.0,3.0
1127,68.0,27.0,5.0,3.0
1185,77.0,41.0,5.0,3.0
1325,79.0,26.0,6.0,3.0
2597,18.0,23.0,13.0,3.0
2843,2.0,37.0,14.0,3.0
3797,46.0,84.0,19.0,3.0
5266,7.0,65.0,27.0,4.0
5356,55.0,17.0,28.0,3.0
7275,28.0,12.0,37.0,4.0
7695,90.0,60.0,39.0,4.0
8179,51.0,31.0,42.0,3.0
8307,41.0,92.0,42.0,3.0
8634,41.0,23.0,44.0,3.0
8989,47.0,75.0,45.0,3.0
9131,95.0,44.0,46.0,3.0
9266,95.0,7.0,47.0,3.0
10702,91.0,83.0,54.0,3.0
11313,59.0,50.0,57.0,3.0
11994,21.0,6.0,62.0,3.0
12856,64.0,37.0,66.0,3.0
13271,46.0,2.0,68.0,1.0
14344,8.0,82.0,73.0,4.0
14841,23.0,92.0,76.0,4.0
15266,24.0,1.0,79.0,1.0
15850,3.0,59.0,81.0,3.0
16223,64.0,71.0,83.0,3.0
16748,7.0,47.0,86.0,5.0
17022,18.0,2.0,88.0,1.0
17569,97.0,2.0,91.0,1.0
17940,22.0,71.0,92.0,3.0
18419,55.0,2.0,95.0,1.0
168,13.0,5.0,1.0,3.0
226,19.0,16.0,1.0,3.0
1378,88.0,43.0,6.0,5.0
69,97.0,56.0,0.0,3.0
806,87.0,57.0,3.0,3.0
421,26.0,80.0,1.0,3.0
420,16.0,80.0,1.0,3.0
674,24.0,90.0,2.0,4.0
466,14.0,90.0,1.0,3.0
514,61.0,5.0,2.0,3.0
186,50.0,6.0,1.0,3.0
1482,52.0,2.0,7.0,3.0
1290,3.0,3.0,6.0,3.0
225,9.0,16.0,1.0,3.0
1291,13.0,3.0,6.0,3.0
507,24.0,4.0,2.0,3.0
542,29.0,16.0,2.0,3.0
513,32.0,5.0,2.0,3.0
740,41.0,16.0,3.0,3.0
508,43.0,4.0,2.0,3.0
543,51.0,16.0,2.0,3.0
738,62.0,15.0,3.0,3.0
510,83.0,4.0,2.0,3.0
907,74.0,15.0,4.0,3.0
725,73.0,4.0,3.0,3.0
743,7.0,17.0,3.0,3.0
562,13.0,19.0,2.0,3.0
563,23.0,19.0,2.0,4.0
596,35.0,42.0,2.0,3.0
959,2.0,30.0,4.0,3.0
1195,3.0,53.0,5.0,3.0
961,10.0,30.0,4.0,3.0
787,9.0,41.0,3.0,3.0
591,21.0,41.0,2.0,3.0
1565,14.0,52.0,7.0,3.0
315,39.0,60.0,1.0,3.0
344,39.0,67.0,1.0,3.0
613,39.0,59.0,2.0,5.0
345,51.0,67.0,1.0,3.0
1391,15.0,52.0,6.0,3.0
609,27.0,57.0,2.0,3.0
364,42.0,70.0,1.0,3.0
379,55.0,71.0,1.0,3.0
617,28.0,63.0,2.0,3.0
377,30.0,71.0,1.0,3.0
1579,8.0,64.0,7.0,3.0
643,4.0,73.0,2.0,3.0
615,18.0,62.0,2.0,4.0
637,16.0,71.0,2.0,3.0
382,20.0,72.0,1.0,3.0
400,43.0,76.0,1.0,3.0
821,47.0,69.0,3.0,3.0
820,36.0,69.0,3.0,3.0
399,30.0,76.0,1.0,3.0
651,51.0,80.0,2.0,3.0
633,25.0,70.0,2.0,3.0
426,38.0,81.0,1.0,3.0
647,27.0,79.0,2.0,3.0
423,39.0,80.0,1.0,3.0
427,50.0,81.0,1.0,3.0
454,26.0,89.0,1.0,3.0
1966,38.0,78.0,9.0,3.0
451,37.0,88.0,1.0,3.0
476,40.0,91.0,1.0,3.0
658,36.0,88.0,2.0,3.0
470,25.0,90.0,1.0,3.0
663,12.0,89.0,2.0,3.0
711,14.0,97.0,2.0,3.0
875,25.0,96.0,3.0,3.0
666,48.0,89.0,2.0,3.0
1269,37.0,96.0,5.0,3.0
713,87.0,97.0,2.0,4.0
1823,73.0,96.0,8.0,3.0
1285,24.0,2.0,6.0,3.0
1287,43.0,2.0,6.0,3.0
517,85.0,6.0,2.0,3.0
1659,32.0,2.0,8.0,3.0
728,94.0,5.0,3.0,3.0
905,85.0,14.0,4.0,3.0
758,46.0,20.0,3.0,3.0
1102,54.0,16.0,5.0,3.0
744,15.0,17.0,3.0,3.0
949,11.0,29.0,4.0,3.0
955,23.0,29.0,4.0,3.0
748,28.0,17.0,3.0,3.0
2393,23.0,21.0,12.0,3.0
770,12.0,29.0,3.0,4.0
597,24.0,43.0,2.0,3.0
1731,35.0,50.0,8.0,3.0
781,32.0,40.0,3.0,3.0
1728,24.0,50.0,8.0,3.0
809,52.0,58.0,3.0,4.0
606,75.0,56.0,2.0,3.0
1742,64.0,51.0,8.0,3.0
1003,75.0,56.0,4.0,3.0
1567,26.0,52.0,7.0,3.0
810,39.0,59.0,3.0,3.0
1580,17.0,64.0,7.0,3.0
1769,28.0,64.0,8.0,3.0
1237,25.0,71.0,5.0,3.0
834,15.0,72.0,3.0,3.0
654,79.0,82.0,2.0,3.0
819,75.0,68.0,3.0,3.0
1435,5.0,81.0,6.0,3.0
2152,27.0,79.0,10.0,3.0
2150,51.0,78.0,10.0,3.0
660,79.0,88.0,2.0,3.0
2166,32.0,89.0,10.0,3.0
698,74.0,91.0,2.0,3.0
1437,1.0,87.0,6.0,3.0
1613,11.0,88.0,7.0,3.0
668,50.0,89.0,2.0,3.0
2337,45.0,89.0,11.0,3.0
678,51.0,90.0,2.0,3.0
1802,22.0,88.0,8.0,3.0
1073,51.0,96.0,4.0,3.0
695,63.0,91.0,2.0,3.0
865,61.0,89.0,3.0,3.0
1631,64.0,97.0,7.0,3.0
1068,72.0,91.0,4.0,3.0
1075,24.0,97.0,4.0,3.0
2172,12.0,92.0,10.0,3.0
3302,73.0,9.0,17.0,3.0
1098,96.0,15.0,5.0,3.0
1847,93.0,2.0,9.0,3.0
1495,67.0,17.0,7.0,3.0
753,33.0,19.0,3.0,3.0
911,42.0,16.0,4.0,3.0
1132,1.0,29.0,5.0,3.0
1672,5.0,15.0,8.0,3.0
