node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
2185,81.0,64.0,10.0,3.0
1077,96.0,60.0,4.0,3.0
1493,33.0,68.0,7.0,3.0
1228,28.0,74.0,5.0,3.0
1519,40.0,76.0,7.0,3.0
961,62.0,72.0,3.0,3.0
960,50.0,71.0,3.0,3.0
964,85.0,73.0,3.0,3.0
2214,95.0,70.0,10.0,3.0
1346,3.0,70.0,6.0,3.0
1372,9.0,87.0,6.0,4.0
854,66.0,86.0,2.0,3.0
1101,78.0,82.0,4.0,3.0
1948,65.0,84.0,9.0,3.0
1405,70.0,98.0,6.0,3.0
2680,2.0,2.0,13.0,3.0
1000,14.0,4.0,4.0,3.0
890,4.0,12.0,3.0,3.0
1618,2.0,27.0,8.0,3.0
1428,5.0,15.0,7.0,3.0
2039,96.0,18.0,10.0,3.0
1202,72.0,46.0,5.0,3.0
943,93.0,49.0,3.0,4.0
1324,84.0,48.0,6.0,3.0
1067,94.0,49.0,4.0,3.0
2167,48.0,56.0,10.0,3.0
1332,57.0,59.0,6.0,3.0
1696,47.0,67.0,8.0,3.0
1678,69.0,61.0,8.0,3.0
1902,48.0,67.0,9.0,3.0
969,68.0,75.0,3.0,3.0
973,91.0,76.0,3.0,3.0
1920,84.0,70.0,9.0,3.0
1085,73.0,72.0,4.0,3.0
2221,68.0,83.0,10.0,3.0
1737,89.0,83.0,8.0,3.0
1784,13.0,4.0,9.0,3.0
1414,46.0,3.0,7.0,3.0
1273,23.0,3.0,6.0,3.0
1167,27.0,12.0,5.0,3.0
1412,33.0,3.0,7.0,3.0
1617,58.0,26.0,8.0,3.0
1299,70.0,25.0,6.0,3.0
1197,94.0,40.0,5.0,3.0
1487,95.0,62.0,7.0,3.0
2226,77.0,85.0,10.0,3.0
1117,4.0,98.0,4.0,3.0
1411,56.0,2.0,7.0,3.0
1415,67.0,3.0,7.0,3.0
1594,27.0,14.0,8.0,3.0
1300,84.0,25.0,6.0,4.0
2366,72.0,39.0,11.0,3.0
2912,72.0,51.0,14.0,3.0
1502,29.0,70.0,7.0,3.0
1518,28.0,76.0,7.0,3.0
1374,22.0,87.0,6.0,3.0
1385,14.0,90.0,6.0,3.0
1395,39.0,96.0,6.0,4.0
1794,97.0,5.0,9.0,3.0
1996,89.0,6.0,10.0,3.0
1590,79.0,5.0,8.0,3.0
2334,69.0,30.0,11.0,3.0
2038,85.0,18.0,10.0,3.0
2720,81.0,31.0,13.0,4.0
1304,94.0,26.0,6.0,3.0
2336,92.0,32.0,11.0,3.0
1639,24.0,36.0,8.0,3.0
2388,1.0,51.0,11.0,3.0
3068,61.0,50.0,15.0,3.0
2585,83.0,40.0,12.0,3.0
3092,83.0,52.0,15.0,3.0
1906,58.0,67.0,9.0,3.0
2920,56.0,56.0,14.0,3.0
1894,1.0,64.0,9.0,3.0
1504,17.0,71.0,7.0,3.0
1361,9.0,80.0,6.0,3.0
1388,2.0,92.0,6.0,3.0
1549,13.0,90.0,7.0,3.0
1523,8.0,81.0,7.0,3.0
2662,2.0,95.0,12.0,3.0
1397,50.0,97.0,6.0,3.0
2818,39.0,97.0,13.0,3.0
1562,62.0,97.0,7.0,3.0
1586,34.0,4.0,8.0,3.0
1782,46.0,3.0,9.0,3.0
1786,67.0,4.0,9.0,3.0
2601,34.0,52.0,12.0,3.0
2172,13.0,59.0,10.0,4.0
1673,23.0,57.0,8.0,3.0
2918,94.0,54.0,14.0,4.0
2209,94.0,69.0,10.0,3.0
1918,9.0,70.0,9.0,3.0
1695,26.0,67.0,8.0,3.0
1914,31.0,69.0,9.0,3.0
1710,14.0,69.0,8.0,3.0
1719,19.0,71.0,8.0,3.0
1932,22.0,80.0,9.0,3.0
2217,32.0,79.0,10.0,3.0
1714,40.0,69.0,8.0,3.0
1732,40.0,78.0,8.0,3.0
3135,8.0,78.0,15.0,3.0
1947,56.0,84.0,9.0,4.0
1757,25.0,90.0,8.0,4.0
1747,33.0,86.0,8.0,3.0
1744,43.0,85.0,8.0,3.0
1558,63.0,96.0,7.0,4.0
1763,74.0,96.0,8.0,3.0
2247,33.0,2.0,11.0,3.0
1796,79.0,6.0,9.0,3.0
2025,26.0,15.0,10.0,3.0
2275,35.0,14.0,11.0,3.0
2330,58.0,28.0,11.0,3.0
2034,2.0,17.0,10.0,3.0
2091,4.0,30.0,10.0,3.0
1641,12.0,37.0,8.0,3.0
1828,13.0,27.0,9.0,3.0
1830,25.0,27.0,9.0,5.0
2128,24.0,38.0,10.0,3.0
1643,12.0,38.0,8.0,4.0
1861,14.0,40.0,9.0,3.0
2593,14.0,50.0,12.0,3.0
2169,25.0,57.0,10.0,3.0
2191,70.0,66.0,10.0,3.0
2175,13.0,60.0,10.0,4.0
1901,37.0,67.0,9.0,3.0
1916,42.0,69.0,9.0,3.0
2443,87.0,85.0,11.0,3.0
2219,42.0,81.0,10.0,3.0
2229,49.0,89.0,10.0,3.0
1933,33.0,80.0,9.0,3.0
1968,37.0,89.0,9.0,4.0
2961,24.0,95.0,14.0,3.0
2265,15.0,12.0,11.0,3.0
2500,68.0,12.0,12.0,4.0
2248,67.0,2.0,11.0,3.0
2841,98.0,2.0,14.0,3.0
2687,78.0,3.0,13.0,4.0
2011,15.0,13.0,10.0,3.0
1812,13.0,17.0,9.0,3.0
2080,36.0,27.0,10.0,4.0
2316,13.0,20.0,11.0,3.0
2333,5.0,30.0,11.0,3.0
2083,18.0,28.0,10.0,3.0
2072,26.0,27.0,10.0,4.0
2407,36.0,61.0,11.0,3.0
2190,49.0,66.0,10.0,3.0
2195,60.0,67.0,10.0,3.0
2934,8.0,71.0,14.0,3.0
2786,20.0,76.0,13.0,3.0
1961,63.0,86.0,9.0,3.0
2436,67.0,83.0,11.0,3.0
2235,61.0,92.0,10.0,3.0
2490,89.0,7.0,12.0,3.0
2266,46.0,12.0,11.0,3.0
2292,61.0,15.0,11.0,3.0
2035,25.0,17.0,10.0,3.0
2272,68.0,13.0,11.0,3.0
2508,79.0,14.0,12.0,4.0
2308,73.0,17.0,11.0,3.0
3381,2.0,15.0,17.0,3.0
2309,85.0,17.0,11.0,3.0
2510,89.0,14.0,12.0,3.0
2319,97.0,20.0,11.0,3.0
2317,24.0,20.0,11.0,3.0
2327,28.0,28.0,11.0,3.0
2129,35.0,38.0,10.0,4.0
2126,5.0,38.0,10.0,3.0
2332,57.0,29.0,11.0,4.0
2373,61.0,40.0,11.0,3.0
2344,68.0,37.0,11.0,3.0
2579,71.0,39.0,12.0,3.0
2575,8.0,39.0,12.0,4.0
2144,26.0,40.0,10.0,3.0
2560,20.0,38.0,12.0,3.0
2370,37.0,40.0,11.0,3.0
2561,30.0,38.0,12.0,4.0
2329,46.0,28.0,11.0,3.0
2576,29.0,39.0,12.0,3.0
2372,48.0,40.0,11.0,3.0
2746,48.0,50.0,13.0,3.0
2406,25.0,61.0,11.0,3.0
2909,27.0,51.0,14.0,5.0
3109,12.0,62.0,15.0,3.0
2198,81.0,67.0,10.0,3.0
2408,81.0,63.0,11.0,3.0
2421,55.0,69.0,11.0,3.0
2772,49.0,62.0,13.0,3.0
2203,73.0,68.0,10.0,3.0
2415,69.0,67.0,11.0,3.0
2411,61.0,67.0,11.0,3.0
2623,79.0,69.0,12.0,3.0
2779,91.0,70.0,13.0,4.0
4210,97.0,76.0,21.0,3.0
3308,31.0,75.0,16.0,4.0
3485,43.0,76.0,17.0,4.0
2641,80.0,84.0,12.0,3.0
2449,74.0,87.0,11.0,3.0
2658,49.0,93.0,12.0,3.0
2958,61.0,94.0,14.0,3.0
2836,25.0,2.0,14.0,3.0
2995,35.0,2.0,15.0,3.0
3871,60.0,4.0,20.0,3.0
3544,14.0,11.0,18.0,3.0
2491,47.0,8.0,12.0,3.0
2507,48.0,14.0,12.0,3.0
2498,36.0,12.0,12.0,3.0
2514,37.0,16.0,12.0,4.0
2499,57.0,12.0,12.0,3.0
2307,61.0,17.0,11.0,3.0
