node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
824,18.0,57.0,3.0,3.0
844,31.0,65.0,3.0,3.0
1012,18.0,64.0,4.0,3.0
862,28.0,68.0,3.0,3.0
854,39.0,67.0,3.0,3.0
1019,40.0,67.0,4.0,3.0
2362,27.0,66.0,12.0,3.0
900,33.0,81.0,3.0,3.0
895,25.0,80.0,3.0,4.0
1035,72.0,80.0,4.0,3.0
1032,24.0,80.0,4.0,3.0
907,84.0,85.0,3.0,3.0
1842,84.0,79.0,9.0,3.0
1042,34.0,82.0,4.0,3.0
920,44.0,96.0,3.0,3.0
1711,29.0,90.0,8.0,3.0
921,54.0,96.0,3.0,3.0
1230,44.0,95.0,5.0,3.0
922,67.0,96.0,3.0,3.0
2029,55.0,95.0,10.0,3.0
2025,66.0,93.0,10.0,3.0
1292,98.0,41.0,6.0,3.0
1807,41.0,39.0,9.0,3.0
1309,35.0,49.0,6.0,3.0
2163,17.0,65.0,11.0,3.0
1196,64.0,68.0,5.0,4.0
1373,76.0,65.0,6.0,4.0
1198,51.0,69.0,5.0,3.0
3245,45.0,77.0,17.0,3.0
1220,78.0,90.0,5.0,3.0
1542,72.0,80.0,7.0,3.0
1228,97.0,94.0,5.0,3.0
1696,97.0,80.0,8.0,3.0
1079,79.0,96.0,4.0,3.0
1398,89.0,93.0,6.0,3.0
1233,90.0,95.0,5.0,4.0
1592,63.0,21.0,8.0,3.0
1105,58.0,23.0,5.0,3.0
1263,81.0,22.0,6.0,4.0
1431,53.0,20.0,7.0,4.0
1127,21.0,40.0,5.0,3.0
1654,21.0,36.0,8.0,4.0
1297,21.0,44.0,6.0,3.0
1166,41.0,54.0,5.0,3.0
1492,46.0,51.0,7.0,3.0
1195,52.0,68.0,5.0,3.0
1335,56.0,53.0,6.0,4.0
1326,79.0,52.0,6.0,3.0
1345,97.0,54.0,6.0,3.0
1340,90.0,54.0,6.0,5.0
1337,78.0,53.0,6.0,4.0
1533,53.0,66.0,7.0,3.0
2385,64.0,72.0,12.0,3.0
1565,78.0,94.0,7.0,3.0
1709,1.0,90.0,8.0,4.0
1851,45.0,87.0,9.0,4.0
1907,42.0,10.0,10.0,3.0
1274,20.0,25.0,6.0,3.0
1452,94.0,23.0,7.0,4.0
1436,29.0,22.0,7.0,3.0
1459,33.0,25.0,7.0,3.0
1432,41.0,21.0,7.0,3.0
2118,97.0,35.0,11.0,3.0
1305,15.0,47.0,6.0,3.0
1813,25.0,49.0,9.0,3.0
1477,32.0,38.0,7.0,3.0
1671,25.0,50.0,8.0,3.0
1670,14.0,50.0,8.0,3.0
1334,37.0,53.0,6.0,4.0
1486,33.0,47.0,7.0,3.0
2149,3.0,53.0,11.0,3.0
1512,77.0,53.0,7.0,3.0
2864,68.0,51.0,15.0,3.0
2343,36.0,57.0,12.0,3.0
1336,66.0,53.0,6.0,5.0
1519,65.0,59.0,7.0,3.0
1523,90.0,64.0,7.0,3.0
2708,91.0,56.0,14.0,3.0
2510,98.0,48.0,13.0,3.0
2368,76.0,67.0,12.0,3.0
2377,86.0,69.0,12.0,3.0
1846,59.0,85.0,9.0,3.0
2770,89.0,88.0,14.0,3.0
2056,52.0,10.0,11.0,3.0
1769,49.0,23.0,9.0,3.0
1440,68.0,22.0,7.0,3.0
1759,74.0,21.0,9.0,4.0
1611,25.0,24.0,8.0,3.0
1761,64.0,22.0,9.0,3.0
1933,89.0,21.0,10.0,3.0
1951,97.0,34.0,10.0,3.0
1613,35.0,24.0,8.0,3.0
1598,3.0,22.0,8.0,3.0
1645,9.0,35.0,8.0,5.0
1936,15.0,23.0,10.0,3.0
1796,33.0,36.0,9.0,4.0
2845,32.0,47.0,15.0,3.0
1509,55.0,53.0,7.0,3.0
1979,55.0,54.0,10.0,3.0
2704,79.0,53.0,14.0,3.0
2717,65.0,61.0,14.0,3.0
1684,97.0,65.0,8.0,3.0
2396,72.0,74.0,12.0,3.0
2188,72.0,85.0,11.0,3.0
1855,13.0,89.0,9.0,3.0
2012,24.0,87.0,10.0,5.0
1867,78.0,94.0,9.0,3.0
2270,62.0,11.0,12.0,3.0
2079,2.0,14.0,11.0,3.0
3495,2.0,31.0,19.0,3.0
1792,20.0,36.0,9.0,5.0
2487,8.0,35.0,13.0,3.0
2325,13.0,50.0,12.0,3.0
2369,97.0,67.0,12.0,3.0
2771,97.0,88.0,14.0,4.0
1861,1.0,90.0,9.0,3.0
2199,24.0,88.0,11.0,5.0
1853,32.0,88.0,9.0,3.0
2305,19.0,36.0,12.0,3.0
2120,28.0,36.0,11.0,3.0
2115,50.0,35.0,11.0,3.0
2300,63.0,34.0,12.0,3.0
2122,39.0,36.0,11.0,3.0
2139,43.0,39.0,11.0,3.0
2326,26.0,50.0,12.0,3.0
2391,84.0,73.0,12.0,3.0
2013,45.0,87.0,10.0,3.0
2415,35.0,87.0,12.0,3.0
2023,11.0,91.0,10.0,3.0
2916,12.0,82.0,15.0,3.0
2933,1.0,94.0,15.0,3.0
2430,78.0,89.0,12.0,3.0
2223,78.0,96.0,11.0,3.0
3443,19.0,1.0,19.0,3.0
2249,57.0,8.0,12.0,3.0
2053,76.0,9.0,11.0,3.0
2243,45.0,7.0,12.0,3.0
2036,8.0,3.0,11.0,4.0
1918,3.0,13.0,10.0,3.0
2054,20.0,10.0,11.0,3.0
1939,86.0,23.0,10.0,3.0
2097,15.0,22.0,11.0,3.0
2293,85.0,28.0,12.0,3.0
2479,73.0,26.0,13.0,3.0
2130,85.0,36.0,11.0,3.0
2159,54.0,57.0,11.0,3.0
2194,24.0,87.0,11.0,5.0
2202,43.0,88.0,11.0,3.0
3277,12.0,94.0,17.0,3.0
2427,55.0,89.0,12.0,3.0
2221,55.0,96.0,11.0,3.0
2044,32.0,8.0,11.0,3.0
2464,37.0,10.0,13.0,3.0
2279,74.0,15.0,12.0,3.0
2245,72.0,7.0,12.0,3.0
